#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_17_0 , BASE1 , 2000-01-17 , 21:50 , AIR1 , 2000-01-18 , 00:32
LEG_17_1 , AIR2 , 2000-01-17 , 23:25 , BASE1 , 2000-01-18 , 02:27
LEG_17_2 , BASE1 , 2000-01-17 , 03:18 , AIR39 , 2000-01-17 , 04:15
LEG_17_3 , AIR2 , 2000-01-17 , 17:45 , BASE1 , 2000-01-17 , 20:47
LEG_17_4 , BASE1 , 2000-01-17 , 18:14 , AIR3 , 2000-01-17 , 20:41
LEG_17_5 , AIR4 , 2000-01-17 , 13:45 , BASE1 , 2000-01-17 , 17:25
LEG_17_6 , AIR5 , 2000-01-17 , 19:55 , BASE1 , 2000-01-17 , 21:06
LEG_17_7 , BASE1 , 2000-01-17 , 22:22 , AIR4 , 2000-01-18 , 02:11
LEG_17_8 , AIR6 , 2000-01-17 , 19:35 , BASE1 , 2000-01-17 , 22:49
LEG_17_9 , BASE1 , 2000-01-17 , 00:13 , AIR15 , 2000-01-17 , 02:44
LEG_17_10 , AIR6 , 2000-01-17 , 08:00 , BASE1 , 2000-01-17 , 11:03
LEG_17_11 , BASE1 , 2000-01-17 , 15:45 , AIR6 , 2000-01-17 , 19:27
LEG_17_12 , AIR7 , 2000-01-17 , 13:15 , BASE1 , 2000-01-17 , 14:14
LEG_17_13 , BASE2 , 2000-01-17 , 01:10 , AIR8 , 2000-01-17 , 02:26
LEG_17_14 , AIR24 , 2000-01-17 , 10:20 , BASE1 , 2000-01-17 , 13:12
LEG_17_15 , BASE1 , 2000-01-17 , 14:11 , AIR9 , 2000-01-17 , 17:55
LEG_17_16 , AIR9 , 2000-01-17 , 13:30 , BASE1 , 2000-01-17 , 17:02
LEG_17_17 , AIR23 , 2000-01-17 , 12:45 , BASE1 , 2000-01-17 , 15:23
LEG_17_18 , BASE1 , 2000-01-17 , 16:37 , AIR9 , 2000-01-17 , 20:25
LEG_17_19 , BASE1 , 2000-01-17 , 20:08 , AIR10 , 2000-01-17 , 22:23
LEG_17_20 , AIR9 , 2000-01-17 , 15:45 , BASE1 , 2000-01-17 , 19:18
LEG_17_21 , BASE1 , 2000-01-17 , 22:31 , AIR9 , 2000-01-18 , 02:19
LEG_17_22 , AIR9 , 2000-01-17 , 19:05 , BASE1 , 2000-01-17 , 22:37
LEG_17_23 , AIR11 , 2000-01-17 , 21:05 , BASE1 , 2000-01-18 , 00:21
LEG_17_24 , BASE1 , 2000-01-17 , 02:10 , AIR9 , 2000-01-17 , 05:52
LEG_17_25 , AIR9 , 2000-01-17 , 22:35 , BASE1 , 2000-01-18 , 02:05
LEG_17_26 , AIR12 , 2000-01-17 , 11:40 , BASE1 , 2000-01-17 , 13:07
LEG_17_27 , BASE1 , 2000-01-17 , 14:05 , AIR13 , 2000-01-17 , 18:11
LEG_17_28 , BASE1 , 2000-01-17 , 00:15 , AIR21 , 2000-01-17 , 02:14
LEG_17_29 , AIR13 , 2000-01-17 , 19:15 , BASE1 , 2000-01-17 , 22:55
LEG_17_30 , AIR14 , 2000-01-17 , 19:20 , BASE1 , 2000-01-17 , 21:04
LEG_17_31 , BASE1 , 2000-01-17 , 22:23 , AIR13 , 2000-01-18 , 02:25
LEG_17_32 , AIR13 , 2000-01-17 , 13:35 , BASE1 , 2000-01-17 , 17:14
LEG_17_33 , BASE1 , 2000-01-17 , 01:54 , AIR13 , 2000-01-17 , 05:50
LEG_17_34 , AIR14 , 2000-01-17 , 23:15 , BASE1 , 2000-01-18 , 01:03
LEG_17_35 , BASE1 , 2000-01-17 , 03:02 , AIR45 , 2000-01-17 , 04:04
LEG_17_36 , AIR13 , 2000-01-17 , 22:35 , BASE1 , 2000-01-18 , 02:12
LEG_17_37 , BASE2 , 2000-01-17 , 23:10 , AIR4 , 2000-01-18 , 04:02
LEG_17_38 , AIR15 , 2000-01-17 , 20:10 , BASE2 , 2000-01-17 , 21:58
LEG_17_39 , AIR13 , 2000-01-17 , 05:20 , BASE2 , 2000-01-17 , 09:52
LEG_17_40 , AIR16 , 2000-01-17 , 13:05 , BASE2 , 2000-01-17 , 15:03
LEG_17_41 , BASE2 , 2000-01-17 , 16:17 , AIR13 , 2000-01-17 , 21:22
LEG_17_42 , AIR4 , 2000-01-17 , 15:30 , BASE2 , 2000-01-17 , 19:50
LEG_17_43 , BASE2 , 2000-01-17 , 21:07 , AIR14 , 2000-01-17 , 22:11
LEG_17_44 , BASE1 , 2000-01-17 , 12:18 , AIR17 , 2000-01-17 , 13:47
LEG_17_45 , AIR14 , 2000-01-17 , 20:45 , BASE2 , 2000-01-17 , 21:53
LEG_17_46 , BASE2 , 2000-01-17 , 22:58 , AIR10 , 2000-01-18 , 00:26
LEG_17_47 , BASE2 , 2000-01-17 , 01:00 , AIR10 , 2000-01-17 , 02:25
LEG_17_48 , BASE2 , 2000-01-17 , 00:58 , AIR18 , 2000-01-17 , 03:50
LEG_17_49 , BASE2 , 2000-01-17 , 17:31 , AIR14 , 2000-01-17 , 18:38
LEG_17_50 , AIR18 , 2000-01-17 , 13:40 , BASE2 , 2000-01-17 , 16:39
LEG_17_51 , BASE2 , 2000-01-17 , 11:00 , AIR18 , 2000-01-17 , 13:56
LEG_17_52 , AIR18 , 2000-01-17 , 15:15 , BASE2 , 2000-01-17 , 18:18
LEG_17_53 , AIR16 , 2000-01-17 , 16:00 , BASE2 , 2000-01-17 , 17:57
LEG_17_54 , BASE2 , 2000-01-17 , 19:41 , AIR2 , 2000-01-18 , 00:02
LEG_17_55 , AIR2 , 2000-01-17 , 06:00 , BASE2 , 2000-01-17 , 09:38
LEG_17_56 , BASE2 , 2000-01-17 , 16:26 , AIR2 , 2000-01-17 , 20:45
LEG_17_57 , AIR19 , 2000-01-17 , 21:05 , BASE3 , 2000-01-18 , 01:01
LEG_17_58 , BASE3 , 2000-01-17 , 02:05 , AIR10 , 2000-01-17 , 03:59
LEG_17_59 , BASE3 , 2000-01-17 , 14:00 , AIR19 , 2000-01-17 , 18:29
LEG_17_60 , BASE2 , 2000-01-17 , 14:30 , AIR20 , 2000-01-17 , 15:43
LEG_17_61 , AIR39 , 2000-01-17 , 12:20 , BASE2 , 2000-01-17 , 13:33
LEG_17_62 , AIR9 , 2000-01-17 , 05:15 , BASE2 , 2000-01-17 , 09:44
LEG_17_63 , BASE2 , 2000-01-17 , 21:19 , AIR41 , 2000-01-17 , 23:04
LEG_17_64 , AIR9 , 2000-01-17 , 15:30 , BASE2 , 2000-01-17 , 19:54
LEG_17_65 , BASE2 , 2000-01-17 , 19:15 , AIR9 , 2000-01-18 , 00:02
LEG_17_66 , AIR9 , 2000-01-17 , 19:40 , BASE2 , 2000-01-18 , 00:02
LEG_17_67 , BASE2 , 2000-01-17 , 12:55 , AIR9 , 2000-01-17 , 17:39
LEG_17_68 , BASE2 , 2000-01-17 , 23:17 , AIR9 , 2000-01-18 , 04:07
LEG_17_69 , AIR21 , 2000-01-17 , 21:00 , BASE2 , 2000-01-17 , 21:59
LEG_17_70 , AIR22 , 2000-01-17 , 07:35 , BASE1 , 2000-01-17 , 11:02
LEG_17_71 , BASE1 , 2000-01-17 , 12:02 , AIR12 , 2000-01-17 , 13:16
LEG_17_72 , AIR22 , 2000-01-17 , 13:55 , BASE1 , 2000-01-17 , 17:24
LEG_17_73 , BASE1 , 2000-01-17 , 18:42 , AIR23 , 2000-01-17 , 21:09
LEG_17_74 , BASE1 , 2000-01-17 , 00:05 , AIR22 , 2000-01-17 , 04:15
LEG_17_75 , BASE1 , 2000-01-17 , 23:49 , AIR23 , 2000-01-18 , 02:17
LEG_17_76 , AIR22 , 2000-01-17 , 19:05 , BASE1 , 2000-01-17 , 22:38
LEG_17_77 , BASE1 , 2000-01-17 , 15:50 , AIR22 , 2000-01-17 , 19:48
LEG_17_78 , BASE1 , 2000-01-17 , 12:25 , AIR10 , 2000-01-17 , 14:42
LEG_17_79 , AIR22 , 2000-01-17 , 22:40 , BASE2 , 2000-01-18 , 03:11
LEG_17_80 , BASE2 , 2000-01-17 , 11:00 , AIR22 , 2000-01-17 , 15:54
LEG_17_81 , BASE1 , 2000-01-17 , 23:40 , AIR10 , 2000-01-18 , 01:59
LEG_17_82 , BASE2 , 2000-01-17 , 19:40 , AIR22 , 2000-01-18 , 00:37
