#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_21_0 , BASE1 , 2000-01-21 , 21:50 , AIR1 , 2000-01-22 , 00:32
LEG_21_1 , AIR2 , 2000-01-21 , 23:25 , BASE1 , 2000-01-22 , 02:27
LEG_21_2 , BASE1 , 2000-01-21 , 03:18 , AIR39 , 2000-01-21 , 04:15
LEG_21_3 , AIR2 , 2000-01-21 , 17:45 , BASE1 , 2000-01-21 , 20:47
LEG_21_4 , BASE1 , 2000-01-21 , 18:14 , AIR3 , 2000-01-21 , 20:41
LEG_21_5 , AIR4 , 2000-01-21 , 13:45 , BASE1 , 2000-01-21 , 17:25
LEG_21_6 , AIR5 , 2000-01-21 , 19:55 , BASE1 , 2000-01-21 , 21:06
LEG_21_7 , BASE1 , 2000-01-21 , 22:22 , AIR4 , 2000-01-22 , 02:11
LEG_21_8 , AIR6 , 2000-01-21 , 19:35 , BASE1 , 2000-01-21 , 22:49
LEG_21_9 , BASE1 , 2000-01-21 , 00:13 , AIR15 , 2000-01-21 , 02:44
LEG_21_10 , AIR6 , 2000-01-21 , 08:00 , BASE1 , 2000-01-21 , 11:03
LEG_21_11 , BASE1 , 2000-01-21 , 15:45 , AIR6 , 2000-01-21 , 19:27
LEG_21_12 , AIR7 , 2000-01-21 , 13:15 , BASE1 , 2000-01-21 , 14:14
LEG_21_13 , BASE2 , 2000-01-21 , 01:10 , AIR8 , 2000-01-21 , 02:26
LEG_21_14 , AIR24 , 2000-01-21 , 10:20 , BASE1 , 2000-01-21 , 13:12
LEG_21_15 , BASE1 , 2000-01-21 , 14:11 , AIR9 , 2000-01-21 , 17:55
LEG_21_16 , AIR9 , 2000-01-21 , 13:30 , BASE1 , 2000-01-21 , 17:02
LEG_21_17 , AIR23 , 2000-01-21 , 12:45 , BASE1 , 2000-01-21 , 15:23
LEG_21_18 , BASE1 , 2000-01-21 , 16:37 , AIR9 , 2000-01-21 , 20:25
LEG_21_19 , BASE1 , 2000-01-21 , 20:08 , AIR10 , 2000-01-21 , 22:23
LEG_21_20 , AIR9 , 2000-01-21 , 15:45 , BASE1 , 2000-01-21 , 19:18
LEG_21_21 , BASE1 , 2000-01-21 , 22:31 , AIR9 , 2000-01-22 , 02:19
LEG_21_22 , AIR9 , 2000-01-21 , 19:05 , BASE1 , 2000-01-21 , 22:37
LEG_21_23 , AIR11 , 2000-01-21 , 21:05 , BASE1 , 2000-01-22 , 00:21
LEG_21_24 , BASE1 , 2000-01-21 , 02:10 , AIR9 , 2000-01-21 , 05:52
LEG_21_25 , AIR9 , 2000-01-21 , 22:35 , BASE1 , 2000-01-22 , 02:05
LEG_21_26 , AIR12 , 2000-01-21 , 11:40 , BASE1 , 2000-01-21 , 13:07
LEG_21_27 , BASE1 , 2000-01-21 , 14:05 , AIR13 , 2000-01-21 , 18:11
LEG_21_28 , BASE1 , 2000-01-21 , 00:15 , AIR21 , 2000-01-21 , 02:14
LEG_21_29 , AIR13 , 2000-01-21 , 19:15 , BASE1 , 2000-01-21 , 22:55
LEG_21_30 , AIR14 , 2000-01-21 , 19:20 , BASE1 , 2000-01-21 , 21:04
LEG_21_31 , BASE1 , 2000-01-21 , 22:23 , AIR13 , 2000-01-22 , 02:25
LEG_21_32 , AIR13 , 2000-01-21 , 13:35 , BASE1 , 2000-01-21 , 17:14
LEG_21_33 , BASE1 , 2000-01-21 , 01:54 , AIR13 , 2000-01-21 , 05:50
LEG_21_34 , AIR14 , 2000-01-21 , 23:15 , BASE1 , 2000-01-22 , 01:03
LEG_21_35 , BASE1 , 2000-01-21 , 03:02 , AIR45 , 2000-01-21 , 04:04
LEG_21_36 , AIR13 , 2000-01-21 , 22:35 , BASE1 , 2000-01-22 , 02:12
LEG_21_37 , BASE2 , 2000-01-21 , 23:10 , AIR4 , 2000-01-22 , 04:02
LEG_21_38 , AIR15 , 2000-01-21 , 20:10 , BASE2 , 2000-01-21 , 21:58
LEG_21_39 , AIR13 , 2000-01-21 , 05:20 , BASE2 , 2000-01-21 , 09:52
LEG_21_40 , AIR16 , 2000-01-21 , 13:05 , BASE2 , 2000-01-21 , 15:03
LEG_21_41 , BASE2 , 2000-01-21 , 16:17 , AIR13 , 2000-01-21 , 21:22
LEG_21_42 , AIR4 , 2000-01-21 , 15:30 , BASE2 , 2000-01-21 , 19:50
LEG_21_43 , BASE2 , 2000-01-21 , 21:07 , AIR14 , 2000-01-21 , 22:11
LEG_21_44 , BASE1 , 2000-01-21 , 12:18 , AIR17 , 2000-01-21 , 13:47
LEG_21_45 , AIR14 , 2000-01-21 , 20:45 , BASE2 , 2000-01-21 , 21:53
LEG_21_46 , BASE2 , 2000-01-21 , 22:58 , AIR10 , 2000-01-22 , 00:26
LEG_21_47 , BASE2 , 2000-01-21 , 01:00 , AIR10 , 2000-01-21 , 02:25
LEG_21_48 , BASE2 , 2000-01-21 , 00:58 , AIR18 , 2000-01-21 , 03:50
