employee,base,vacationName,startDate,startHour,endDate,endHour
EMP001 , BASE1 , Vacation_001 , 2000-01-24 , 00:00 , 2000-01-26 , 23:59
EMP002 , BASE3 , Vacation_002 , 2000-01-02 , 00:00 , 2000-01-10 , 23:59
EMP003 , BASE1 , Vacation_003 , 2000-01-03 , 00:00 , 2000-01-05 , 23:59
EMP004 , BASE2 , Vacation_004 , 2000-01-11 , 00:00 , 2000-01-25 , 23:59
EMP005 , BASE2 , Vacation_005 , 2000-01-13 , 00:00 , 2000-01-16 , 23:59
EMP006 , BASE2 , Vacation_006 , 2000-01-19 , 00:00 , 2000-01-24 , 23:59
EMP007 , BASE2 , Vacation_007 , 2000-01-28 , 00:00 , 2000-01-31 , 23:59
EMP008 , BASE2 , Vacation_008 , 2000-01-18 , 00:00 , 2000-01-23 , 23:59
EMP009 , BASE3 , Vacation_009 , 2000-01-18 , 00:00 , 2000-01-29 , 23:59
EMP010 , BASE2 , Vacation_010 , 2000-01-04 , 00:00 , 2000-01-11 , 23:59
