"Number of crews available at each base for each day of the period.  6.15079% slack added."

base  , BASE1 , BASE2 , BASE3
Day1  , 5     , 3     , 4    
Day2  , 5     , 4     , 9    
Day3  , 5     , 4     , 9    
Day4  , 5     , 5     , 9    
Day5  , 4     , 4     , 9    
Day6  , 3     , 4     , 9    
Day7  , 6     , 4     , 9    
Day8  , 5     , 4     , 9    
Day9  , 5     , 4     , 9    
Day10 , 5     , 4     , 9    
Day11 , 6     , 4     , 9    
Day12 , 5     , 4     , 7    
Day13 , 4     , 4     , 9    
Day14 , 5     , 4     , 9    
Day15 , 5     , 5     , 9    
Day16 , 5     , 4     , 9    
Day17 , 5     , 4     , 9    
Day18 , 5     , 4     , 9    
Day19 , 4     , 4     , 8    
Day20 , 4     , 4     , 9    
Day21 , 6     , 4     , 9    
Day22 , 5     , 4     , 9    
Day23 , 5     , 4     , 9    
Day24 , 5     , 4     , 9    
Day25 , 5     , 4     , 9    
Day26 , 4     , 3     , 8    
Day27 , 4     , 3     , 7    
Day28 , 5     , 3     , 9    
Day29 , 5     , 3     , 8    
Day30 , 5     , 3     , 8    
Day31 , 5     , 3     , 9    
