#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_25_0 , BASE2 , 2000-01-25 , 22:32 , AIR2 , 2000-01-26 , 00:12
LEG_25_1 , AIR2 , 2000-01-25 , 15:30 , BASE2 , 2000-01-25 , 17:14
LEG_25_2 , BASE2 , 2000-01-25 , 15:22 , AIR3 , 2000-01-25 , 17:40
LEG_25_3 , AIR3 , 2000-01-25 , 18:25 , BASE2 , 2000-01-25 , 21:03
LEG_25_4 , BASE3 , 2000-01-25 , 22:15 , AIR4 , 2000-01-25 , 23:11
LEG_25_5 , AIR4 , 2000-01-25 , 00:05 , BASE3 , 2000-01-25 , 01:03
LEG_25_6 , BASE3 , 2000-01-25 , 13:35 , AIR2 , 2000-01-25 , 14:46
LEG_25_7 , AIR2 , 2000-01-25 , 11:30 , BASE3 , 2000-01-25 , 12:43
LEG_25_8 , BASE3 , 2000-01-25 , 14:05 , AIR4 , 2000-01-25 , 14:59
LEG_25_9 , AIR5 , 2000-01-25 , 12:30 , BASE2 , 2000-01-25 , 14:29
LEG_25_10 , BASE2 , 2000-01-25 , 15:23 , AIR6 , 2000-01-25 , 16:20
LEG_25_11 , BASE2 , 2000-01-25 , 01:54 , AIR5 , 2000-01-25 , 03:59
LEG_25_12 , AIR7 , 2000-01-25 , 15:45 , BASE3 , 2000-01-25 , 16:46
LEG_25_13 , AIR8 , 2000-01-25 , 11:30 , BASE3 , 2000-01-25 , 12:47
LEG_25_14 , BASE3 , 2000-01-25 , 14:00 , AIR7 , 2000-01-25 , 14:58
LEG_25_15 , BASE3 , 2000-01-25 , 02:25 , AIR8 , 2000-01-25 , 03:34
LEG_25_16 , AIR16 , 2000-01-25 , 00:10 , BASE3 , 2000-01-25 , 01:20
LEG_25_17 , BASE1 , 2000-01-25 , 10:57 , AIR9 , 2000-01-25 , 12:03
LEG_25_18 , AIR9 , 2000-01-25 , 13:30 , BASE1 , 2000-01-25 , 14:43
LEG_25_19 , BASE1 , 2000-01-25 , 17:54 , AIR10 , 2000-01-25 , 18:40
LEG_25_20 , AIR6 , 2000-01-25 , 17:20 , BASE2 , 2000-01-25 , 18:29
LEG_25_21 , AIR20 , 2000-01-25 , 16:42 , BASE1 , 2000-01-25 , 18:31
LEG_25_22 , BASE1 , 2000-01-25 , 19:19 , AIR11 , 2000-01-25 , 20:22
LEG_25_23 , AIR12 , 2000-01-25 , 10:45 , BASE1 , 2000-01-25 , 11:45
LEG_25_24 , BASE1 , 2000-01-25 , 13:11 , AIR21 , 2000-01-25 , 13:52
LEG_25_25 , BASE2 , 2000-01-25 , 20:17 , AIR10 , 2000-01-25 , 21:38
LEG_25_26 , AIR10 , 2000-01-25 , 22:50 , BASE2 , 2000-01-26 , 00:21
LEG_25_27 , BASE1 , 2000-01-25 , 23:20 , AIR8 , 2000-01-26 , 00:42
LEG_25_28 , BASE1 , 2000-01-25 , 21:27 , AIR10 , 2000-01-25 , 22:13
LEG_25_29 , AIR21 , 2000-01-25 , 14:32 , BASE1 , 2000-01-25 , 15:13
LEG_25_30 , AIR13 , 2000-01-25 , 19:40 , BASE3 , 2000-01-25 , 20:58
LEG_25_31 , AIR8 , 2000-01-25 , 12:05 , BASE1 , 2000-01-25 , 13:31
LEG_25_32 , BASE1 , 2000-01-25 , 14:18 , AIR20 , 2000-01-25 , 16:02
LEG_25_33 , AIR10 , 2000-01-25 , 23:30 , BASE1 , 2000-01-26 , 00:16
LEG_25_34 , BASE1 , 2000-01-25 , 17:58 , AIR14 , 2000-01-25 , 19:36
LEG_25_35 , AIR14 , 2000-01-25 , 20:20 , BASE1 , 2000-01-25 , 22:08
LEG_25_36 , AIR4 , 2000-01-25 , 15:55 , BASE3 , 2000-01-25 , 16:52
LEG_25_37 , BASE3 , 2000-01-25 , 17:45 , AIR15 , 2000-01-25 , 19:06
LEG_25_38 , AIR15 , 2000-01-25 , 19:50 , BASE3 , 2000-01-25 , 21:13
LEG_25_39 , BASE3 , 2000-01-25 , 22:10 , AIR16 , 2000-01-25 , 23:23
LEG_25_40 , AIR10 , 2000-01-25 , 19:35 , BASE1 , 2000-01-25 , 20:23
LEG_25_41 , BASE3 , 2000-01-25 , 17:40 , AIR13 , 2000-01-25 , 18:53
LEG_25_42 , AIR17 , 2000-01-25 , 23:30 , BASE2 , 2000-01-26 , 00:20
LEG_25_43 , AIR18 , 2000-01-25 , 13:41 , BASE2 , 2000-01-25 , 14:42
LEG_25_44 , BASE2 , 2000-01-25 , 12:00 , AIR18 , 2000-01-25 , 13:04
LEG_25_45 , AIR18 , 2000-01-25 , 19:49 , BASE2 , 2000-01-25 , 20:49
LEG_25_46 , BASE2 , 2000-01-25 , 21:53 , AIR17 , 2000-01-25 , 22:38
LEG_25_47 , BASE2 , 2000-01-25 , 18:05 , AIR18 , 2000-01-25 , 19:05
LEG_25_48 , AIR19 , 2000-01-25 , 11:00 , BASE3 , 2000-01-25 , 12:46
LEG_25_49 , BASE3 , 2000-01-25 , 02:20 , AIR19 , 2000-01-25 , 03:51
LEG_25_50 , BASE1 , 2000-01-25 , 22:57 , AIR12 , 2000-01-25 , 23:51
LEG_25_51 , AIR11 , 2000-01-25 , 21:05 , BASE1 , 2000-01-25 , 22:02
