#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_31_0 , BASE3 , 2000-01-31 , 15:05 , AIR7 , 2000-01-31 , 15:59
LEG_31_1 , AIR8 , 2000-01-31 , 12:30 , BASE3 , 2000-01-31 , 13:48
LEG_31_2 , BASE3 , 2000-01-31 , 03:25 , AIR8 , 2000-01-31 , 04:35
LEG_31_3 , AIR17 , 2000-01-31 , 21:05 , BASE2 , 2000-01-31 , 21:56
LEG_31_4 , BASE2 , 2000-01-31 , 23:05 , BASE3 , 2000-02-01 , 01:16
LEG_31_5 , AIR13 , 2000-01-31 , 20:40 , BASE3 , 2000-01-31 , 22:00
LEG_31_7 , BASE3 , 2000-01-31 , 03:30 , AIR2 , 2000-01-31 , 04:36
LEG_31_8 , AIR16 , 2000-01-31 , 01:10 , BASE3 , 2000-01-31 , 02:21
LEG_31_9 , AIR2 , 2000-01-31 , 12:30 , BASE3 , 2000-01-31 , 13:42
LEG_31_10 , BASE2 , 2000-01-31 , 19:11 , AIR9 , 2000-01-31 , 21:06
LEG_31_11 , AIR19 , 2000-01-31 , 12:00 , BASE3 , 2000-01-31 , 13:45
LEG_31_12 , BASE3 , 2000-01-31 , 14:35 , AIR2 , 2000-01-31 , 15:44
LEG_31_13 , BASE3 , 2000-01-31 , 03:20 , AIR19 , 2000-01-31 , 04:58
LEG_31_14 , AIR4 , 2000-01-31 , 01:05 , BASE3 , 2000-01-31 , 02:02
LEG_31_15 , AIR8 , 2000-01-31 , 12:00 , BASE2 , 2000-01-31 , 14:00
LEG_31_16 , BASE2 , 2000-01-31 , 15:25 , AIR29 , 2000-01-31 , 17:06
LEG_31_17 , BASE2 , 2000-01-31 , 21:17 , AIR10 , 2000-01-31 , 22:42
LEG_31_18 , AIR29 , 2000-01-31 , 18:45 , BASE2 , 2000-01-31 , 20:11
LEG_31_19 , AIR2 , 2000-01-31 , 16:35 , BASE2 , 2000-01-31 , 18:13
LEG_31_20 , BASE2 , 2000-01-31 , 13:20 , AIR31 , 2000-01-31 , 14:23
LEG_31_21 , BASE3 , 2000-01-31 , 18:40 , AIR13 , 2000-01-31 , 19:48
LEG_31_22 , BASE3 , 2000-01-31 , 15:05 , AIR4 , 2000-01-31 , 15:59
LEG_31_23 , BASE2 , 2000-01-31 , 19:32 , AIR17 , 2000-01-31 , 20:19
LEG_31_24 , AIR10 , 2000-01-31 , 23:50 , BASE2 , 2000-02-01 , 01:23
LEG_31_25 , AIR31 , 2000-01-31 , 15:20 , BASE2 , 2000-01-31 , 16:19
LEG_31_26 , BASE1 , 2000-01-31 , 22:03 , AIR32 , 2000-01-31 , 22:53
LEG_31_27 , AIR32 , 2000-01-31 , 23:40 , BASE1 , 2000-02-01 , 00:38
LEG_31_28 , BASE1 , 2000-01-31 , 02:05 , AIR32 , 2000-01-31 , 02:52
LEG_31_29 , BASE1 , 2000-01-31 , 14:07 , AIR21 , 2000-01-31 , 14:46
LEG_31_30 , AIR32 , 2000-01-31 , 12:00 , BASE1 , 2000-01-31 , 12:51
LEG_31_31 , AIR21 , 2000-01-31 , 15:32 , BASE1 , 2000-01-31 , 16:15
LEG_31_32 , AIR7 , 2000-01-31 , 16:45 , BASE3 , 2000-01-31 , 17:48
LEG_31_33 , BASE1 , 2000-01-31 , 18:54 , AIR30 , 2000-01-31 , 20:16
LEG_31_34 , BASE1 , 2000-01-31 , 11:36 , AIR19 , 2000-01-31 , 12:27
LEG_31_35 , AIR30 , 2000-01-31 , 21:15 , BASE1 , 2000-01-31 , 22:45
LEG_31_36 , BASE1 , 2000-01-31 , 00:14 , AIR8 , 2000-01-31 , 01:33
LEG_31_37 , AIR19 , 2000-01-31 , 13:10 , BASE1 , 2000-01-31 , 14:16
LEG_31_38 , BASE1 , 2000-01-31 , 15:11 , AIR14 , 2000-01-31 , 16:48
LEG_31_39 , AIR14 , 2000-01-31 , 17:35 , BASE1 , 2000-01-31 , 19:19
LEG_31_40 , AIR9 , 2000-01-31 , 22:00 , BASE1 , 2000-01-31 , 23:09
LEG_31_41 , AIR4 , 2000-01-31 , 16:55 , BASE3 , 2000-01-31 , 17:50
LEG_31_42 , BASE3 , 2000-01-31 , 18:45 , AIR15 , 2000-01-31 , 20:04
LEG_31_43 , AIR15 , 2000-01-31 , 20:50 , BASE3 , 2000-01-31 , 22:16
