#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_04_0 , BASE2 , 2000-01-04 , 22:32 , AIR2 , 2000-01-05 , 00:12
LEG_04_1 , AIR2 , 2000-01-04 , 15:30 , BASE2 , 2000-01-04 , 17:14
LEG_04_2 , BASE2 , 2000-01-04 , 15:22 , AIR3 , 2000-01-04 , 17:40
LEG_04_3 , AIR3 , 2000-01-04 , 18:25 , BASE2 , 2000-01-04 , 21:03
LEG_04_4 , BASE3 , 2000-01-04 , 22:15 , AIR4 , 2000-01-04 , 23:11
LEG_04_5 , AIR4 , 2000-01-04 , 00:05 , BASE3 , 2000-01-04 , 01:03
LEG_04_6 , BASE3 , 2000-01-04 , 13:35 , AIR2 , 2000-01-04 , 14:46
LEG_04_7 , AIR2 , 2000-01-04 , 11:30 , BASE3 , 2000-01-04 , 12:43
LEG_04_8 , BASE3 , 2000-01-04 , 14:05 , AIR4 , 2000-01-04 , 14:59
LEG_04_9 , AIR5 , 2000-01-04 , 12:30 , BASE2 , 2000-01-04 , 14:29
LEG_04_10 , BASE2 , 2000-01-04 , 15:23 , AIR6 , 2000-01-04 , 16:20
LEG_04_11 , BASE2 , 2000-01-04 , 01:54 , AIR5 , 2000-01-04 , 03:59
LEG_04_12 , AIR7 , 2000-01-04 , 15:45 , BASE3 , 2000-01-04 , 16:46
LEG_04_13 , AIR8 , 2000-01-04 , 11:30 , BASE3 , 2000-01-04 , 12:47
LEG_04_14 , BASE3 , 2000-01-04 , 14:00 , AIR7 , 2000-01-04 , 14:58
LEG_04_15 , BASE3 , 2000-01-04 , 02:25 , AIR8 , 2000-01-04 , 03:34
LEG_04_16 , AIR16 , 2000-01-04 , 00:10 , BASE3 , 2000-01-04 , 01:20
LEG_04_17 , BASE1 , 2000-01-04 , 10:57 , AIR9 , 2000-01-04 , 12:03
LEG_04_18 , AIR9 , 2000-01-04 , 13:30 , BASE1 , 2000-01-04 , 14:43
LEG_04_19 , BASE1 , 2000-01-04 , 17:54 , AIR10 , 2000-01-04 , 18:40
LEG_04_20 , AIR6 , 2000-01-04 , 17:20 , BASE2 , 2000-01-04 , 18:29
LEG_04_21 , AIR20 , 2000-01-04 , 16:42 , BASE1 , 2000-01-04 , 18:31
LEG_04_22 , BASE1 , 2000-01-04 , 19:19 , AIR11 , 2000-01-04 , 20:22
LEG_04_23 , AIR12 , 2000-01-04 , 10:45 , BASE1 , 2000-01-04 , 11:45
LEG_04_24 , BASE1 , 2000-01-04 , 13:11 , AIR21 , 2000-01-04 , 13:52
LEG_04_25 , BASE2 , 2000-01-04 , 20:17 , AIR10 , 2000-01-04 , 21:38
LEG_04_26 , AIR10 , 2000-01-04 , 22:50 , BASE2 , 2000-01-05 , 00:21
LEG_04_27 , BASE1 , 2000-01-04 , 23:20 , AIR8 , 2000-01-05 , 00:42
LEG_04_28 , BASE1 , 2000-01-04 , 21:27 , AIR10 , 2000-01-04 , 22:13
LEG_04_29 , AIR21 , 2000-01-04 , 14:32 , BASE1 , 2000-01-04 , 15:13
LEG_04_30 , AIR13 , 2000-01-04 , 19:40 , BASE3 , 2000-01-04 , 20:58
LEG_04_31 , AIR8 , 2000-01-04 , 12:05 , BASE1 , 2000-01-04 , 13:31
LEG_04_32 , BASE1 , 2000-01-04 , 14:18 , AIR20 , 2000-01-04 , 16:02
LEG_04_33 , AIR10 , 2000-01-04 , 23:30 , BASE1 , 2000-01-05 , 00:16
LEG_04_34 , BASE1 , 2000-01-04 , 17:58 , AIR14 , 2000-01-04 , 19:36
LEG_04_35 , AIR14 , 2000-01-04 , 20:20 , BASE1 , 2000-01-04 , 22:08
LEG_04_36 , AIR4 , 2000-01-04 , 15:55 , BASE3 , 2000-01-04 , 16:52
LEG_04_37 , BASE3 , 2000-01-04 , 17:45 , AIR15 , 2000-01-04 , 19:06
LEG_04_38 , AIR15 , 2000-01-04 , 19:50 , BASE3 , 2000-01-04 , 21:13
LEG_04_39 , BASE3 , 2000-01-04 , 22:10 , AIR16 , 2000-01-04 , 23:23
LEG_04_40 , AIR10 , 2000-01-04 , 19:35 , BASE1 , 2000-01-04 , 20:23
LEG_04_41 , BASE3 , 2000-01-04 , 17:40 , AIR13 , 2000-01-04 , 18:53
LEG_04_42 , AIR17 , 2000-01-04 , 23:30 , BASE2 , 2000-01-05 , 00:20
LEG_04_43 , AIR18 , 2000-01-04 , 13:41 , BASE2 , 2000-01-04 , 14:42
LEG_04_44 , BASE2 , 2000-01-04 , 12:00 , AIR18 , 2000-01-04 , 13:04
LEG_04_45 , AIR18 , 2000-01-04 , 19:49 , BASE2 , 2000-01-04 , 20:49
LEG_04_46 , BASE2 , 2000-01-04 , 21:53 , AIR17 , 2000-01-04 , 22:38
LEG_04_47 , BASE2 , 2000-01-04 , 18:05 , AIR18 , 2000-01-04 , 19:05
LEG_04_48 , AIR19 , 2000-01-04 , 11:00 , BASE3 , 2000-01-04 , 12:46
LEG_04_49 , BASE3 , 2000-01-04 , 02:20 , AIR19 , 2000-01-04 , 03:51
LEG_04_50 , BASE1 , 2000-01-04 , 22:57 , AIR12 , 2000-01-04 , 23:51
LEG_04_51 , AIR11 , 2000-01-04 , 21:05 , BASE1 , 2000-01-04 , 22:02
