#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_13_0 , AIR2 , 2000-01-13 , 12:00 , BASE1 , 2000-01-13 , 13:21
LEG_13_1 , BASE1 , 2000-01-13 , 03:01 , BASE3 , 2000-01-13 , 04:50
LEG_13_2 , BASE1 , 2000-01-13 , 19:00 , AIR7 , 2000-01-13 , 20:08
LEG_13_3 , AIR7 , 2000-01-13 , 22:00 , BASE1 , 2000-01-13 , 23:28
LEG_13_4 , AIR1 , 2000-01-13 , 21:40 , BASE1 , 2000-01-13 , 23:00
LEG_13_5 , AIR7 , 2000-01-13 , 14:05 , BASE2 , 2000-01-13 , 15:19
LEG_13_6 , BASE2 , 2000-01-13 , 20:55 , AIR7 , 2000-01-13 , 22:09
LEG_13_7 , BASE2 , 2000-01-13 , 23:12 , BASE3 , 2000-01-14 , 01:12
LEG_13_8 , AIR1 , 2000-01-13 , 16:09 , BASE1 , 2000-01-13 , 17:30
LEG_13_9 , BASE1 , 2000-01-13 , 18:40 , AIR2 , 2000-01-13 , 20:09
LEG_13_10 , AIR2 , 2000-01-13 , 23:10 , BASE1 , 2000-01-14 , 00:31
LEG_13_11 , AIR2 , 2000-01-13 , 19:25 , BASE1 , 2000-01-13 , 20:44
LEG_13_12 , BASE1 , 2000-01-13 , 00:12 , AIR2 , 2000-01-13 , 01:47
LEG_13_13 , BASE1 , 2000-01-13 , 03:11 , AIR3 , 2000-01-13 , 04:08
LEG_13_14 , AIR3 , 2000-01-13 , 13:20 , BASE1 , 2000-01-13 , 14:19
LEG_13_15 , BASE1 , 2000-01-13 , 15:11 , AIR2 , 2000-01-13 , 16:40
LEG_13_16 , BASE1 , 2000-01-13 , 16:18 , AIR2 , 2000-01-13 , 17:39
LEG_13_17 , BASE1 , 2000-01-13 , 20:26 , AIR2 , 2000-01-13 , 21:56
LEG_13_18 , BASE1 , 2000-01-13 , 22:24 , AIR2 , 2000-01-13 , 23:52
LEG_13_19 , BASE2 , 2000-01-13 , 17:52 , AIR6 , 2000-01-13 , 19:25
LEG_13_20 , AIR5 , 2000-01-13 , 20:10 , BASE2 , 2000-01-13 , 22:08
LEG_13_21 , BASE2 , 2000-01-13 , 23:00 , BASE3 , 2000-01-14 , 01:00
LEG_13_22 , BASE2 , 2000-01-13 , 17:41 , AIR5 , 2000-01-13 , 19:23
