#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_20_0 , AIR2 , 2000-01-20 , 12:00 , BASE1 , 2000-01-20 , 13:21
LEG_20_1 , BASE1 , 2000-01-20 , 03:01 , BASE3 , 2000-01-20 , 04:50
LEG_20_2 , AIR1 , 2000-01-20 , 21:40 , BASE1 , 2000-01-20 , 23:00
LEG_20_3 , AIR7 , 2000-01-20 , 14:05 , BASE2 , 2000-01-20 , 15:19
LEG_20_4 , BASE2 , 2000-01-20 , 23:12 , BASE3 , 2000-01-21 , 01:12
LEG_20_5 , AIR1 , 2000-01-20 , 16:09 , BASE1 , 2000-01-20 , 17:30
LEG_20_6 , BASE1 , 2000-01-20 , 18:40 , AIR2 , 2000-01-20 , 20:09
LEG_20_7 , AIR2 , 2000-01-20 , 23:10 , BASE1 , 2000-01-21 , 00:31
LEG_20_8 , AIR2 , 2000-01-20 , 19:25 , BASE1 , 2000-01-20 , 20:44
LEG_20_9 , BASE1 , 2000-01-20 , 00:12 , AIR2 , 2000-01-20 , 01:47
LEG_20_10 , BASE1 , 2000-01-20 , 03:11 , AIR3 , 2000-01-20 , 04:08
LEG_20_11 , AIR3 , 2000-01-20 , 13:20 , BASE1 , 2000-01-20 , 14:19
LEG_20_12 , BASE1 , 2000-01-20 , 15:11 , AIR2 , 2000-01-20 , 16:40
LEG_20_13 , BASE1 , 2000-01-20 , 16:18 , AIR2 , 2000-01-20 , 17:39
LEG_20_14 , BASE1 , 2000-01-20 , 20:26 , AIR2 , 2000-01-20 , 21:56
LEG_20_15 , BASE1 , 2000-01-20 , 22:24 , AIR2 , 2000-01-20 , 23:52
LEG_20_16 , AIR5 , 2000-01-20 , 20:10 , BASE2 , 2000-01-20 , 22:08
LEG_20_17 , BASE2 , 2000-01-20 , 23:00 , BASE3 , 2000-01-21 , 01:00
LEG_20_18 , BASE2 , 2000-01-20 , 17:41 , AIR5 , 2000-01-20 , 19:23
LEG_20_19 , BASE3 , 2000-01-20 , 15:00 , BASE2 , 2000-01-20 , 16:54
LEG_20_20 , BASE2 , 2000-01-20 , 19:10 , BASE3 , 2000-01-20 , 21:09
LEG_20_21 , BASE3 , 2000-01-20 , 02:10 , BASE2 , 2000-01-20 , 03:59
LEG_20_22 , BASE2 , 2000-01-20 , 19:24 , AIR29 , 2000-01-20 , 20:15
LEG_20_23 , AIR9 , 2000-01-20 , 17:45 , BASE2 , 2000-01-20 , 18:27
LEG_20_24 , BASE2 , 2000-01-20 , 19:07 , BASE3 , 2000-01-20 , 21:06
LEG_20_25 , AIR6 , 2000-01-20 , 16:45 , BASE2 , 2000-01-20 , 18:20
LEG_20_26 , AIR8 , 2000-01-20 , 23:55 , BASE2 , 2000-01-21 , 01:59
LEG_20_27 , AIR8 , 2000-01-20 , 13:20 , BASE2 , 2000-01-20 , 15:18
LEG_20_28 , BASE2 , 2000-01-20 , 10:41 , AIR8 , 2000-01-20 , 12:22
LEG_20_29 , BASE2 , 2000-01-20 , 19:13 , AIR7 , 2000-01-20 , 20:30
LEG_20_30 , AIR8 , 2000-01-20 , 16:35 , BASE2 , 2000-01-20 , 18:25
LEG_20_31 , AIR9 , 2000-01-20 , 11:00 , BASE2 , 2000-01-20 , 11:39
LEG_20_32 , AIR8 , 2000-01-20 , 15:05 , BASE2 , 2000-01-20 , 16:56
LEG_20_33 , BASE2 , 2000-01-20 , 14:14 , AIR8 , 2000-01-20 , 15:51
LEG_20_34 , BASE2 , 2000-01-20 , 23:11 , AIR12 , 2000-01-21 , 00:22
LEG_20_35 , BASE2 , 2000-01-20 , 14:21 , AIR14 , 2000-01-20 , 16:54
LEG_20_36 , AIR11 , 2000-01-20 , 16:55 , BASE2 , 2000-01-20 , 18:12
LEG_20_37 , BASE2 , 2000-01-20 , 19:32 , AIR12 , 2000-01-20 , 20:42
LEG_20_38 , AIR4 , 2000-01-20 , 18:45 , BASE2 , 2000-01-20 , 20:01
LEG_20_39 , AIR13 , 2000-01-20 , 17:35 , BASE2 , 2000-01-20 , 18:21
LEG_20_40 , BASE2 , 2000-01-20 , 19:38 , AIR14 , 2000-01-20 , 22:20
LEG_20_41 , AIR14 , 2000-01-20 , 21:25 , BASE2 , 2000-01-21 , 00:06
LEG_20_42 , BASE2 , 2000-01-20 , 21:16 , AIR36 , 2000-01-20 , 23:06
LEG_20_43 , AIR14 , 2000-01-20 , 17:40 , BASE2 , 2000-01-20 , 20:23
LEG_20_44 , BASE3 , 2000-01-20 , 13:36 , BASE1 , 2000-01-20 , 15:45
LEG_20_45 , AIR15 , 2000-01-20 , 11:25 , BASE3 , 2000-01-20 , 12:50
LEG_20_46 , BASE3 , 2000-01-20 , 17:35 , BASE1 , 2000-01-20 , 19:40
LEG_20_47 , AIR7 , 2000-01-20 , 21:15 , BASE2 , 2000-01-20 , 22:26
LEG_20_48 , BASE2 , 2000-01-20 , 23:14 , AIR16 , 2000-01-21 , 01:33
LEG_20_49 , AIR16 , 2000-01-20 , 12:45 , BASE2 , 2000-01-20 , 15:06
LEG_20_50 , AIR18 , 2000-01-20 , 13:05 , BASE2 , 2000-01-20 , 14:57
LEG_20_51 , AIR7 , 2000-01-20 , 23:00 , BASE2 , 2000-01-21 , 00:17
LEG_20_52 , BASE2 , 2000-01-20 , 17:33 , AIR19 , 2000-01-20 , 20:16
LEG_20_53 , AIR19 , 2000-01-20 , 21:00 , BASE2 , 2000-01-20 , 23:44
LEG_20_54 , BASE2 , 2000-01-20 , 00:57 , AIR38 , 2000-01-20 , 02:00
LEG_20_55 , BASE2 , 2000-01-20 , 23:13 , AIR4 , 2000-01-21 , 00:28
LEG_20_56 , AIR18 , 2000-01-20 , 20:20 , BASE2 , 2000-01-20 , 22:16
LEG_20_57 , BASE2 , 2000-01-20 , 21:01 , AIR18 , 2000-01-20 , 23:05
LEG_20_58 , AIR2 , 2000-01-20 , 18:25 , BASE2 , 2000-01-20 , 20:20
LEG_20_59 , BASE2 , 2000-01-20 , 17:34 , AIR18 , 2000-01-20 , 19:29
LEG_20_60 , BASE1 , 2000-01-20 , 12:17 , AIR21 , 2000-01-20 , 13:52
LEG_20_61 , AIR22 , 2000-01-20 , 13:00 , BASE1 , 2000-01-20 , 15:03
LEG_20_62 , AIR2 , 2000-01-20 , 21:00 , BASE1 , 2000-01-20 , 22:26
LEG_20_63 , BASE1 , 2000-01-20 , 23:37 , AIR23 , 2000-01-21 , 02:02
LEG_20_64 , BASE2 , 2000-01-20 , 16:15 , AIR2 , 2000-01-20 , 18:22
LEG_20_65 , AIR12 , 2000-01-20 , 21:30 , BASE1 , 2000-01-20 , 22:50
LEG_20_66 , BASE2 , 2000-01-20 , 17:45 , BASE1 , 2000-01-20 , 19:31
LEG_20_67 , BASE1 , 2000-01-20 , 16:25 , BASE2 , 2000-01-20 , 18:09
LEG_20_68 , BASE2 , 2000-01-20 , 19:22 , BASE1 , 2000-01-20 , 21:14
LEG_20_69 , BASE1 , 2000-01-20 , 22:06 , BASE2 , 2000-01-20 , 23:58
LEG_20_70 , BASE2 , 2000-01-20 , 16:15 , BASE1 , 2000-01-20 , 18:14
LEG_20_71 , BASE1 , 2000-01-20 , 14:01 , AIR25 , 2000-01-20 , 15:25
LEG_20_72 , BASE3 , 2000-01-20 , 22:25 , AIR18 , 2000-01-20 , 23:43
LEG_20_73 , AIR18 , 2000-01-20 , 23:55 , BASE3 , 2000-01-21 , 01:10
LEG_20_74 , BASE3 , 2000-01-20 , 13:30 , AIR12 , 2000-01-20 , 15:08
LEG_20_75 , AIR26 , 2000-01-20 , 00:05 , BASE3 , 2000-01-20 , 01:22
LEG_20_76 , BASE3 , 2000-01-20 , 02:30 , AIR39 , 2000-01-20 , 03:24
LEG_20_77 , AIR39 , 2000-01-20 , 00:05 , BASE3 , 2000-01-20 , 01:03
LEG_20_78 , BASE3 , 2000-01-20 , 22:25 , AIR12 , 2000-01-21 , 00:05
LEG_20_79 , BASE3 , 2000-01-20 , 14:10 , AIR14 , 2000-01-20 , 16:08
LEG_20_80 , AIR14 , 2000-01-20 , 23:15 , BASE3 , 2000-01-21 , 01:18
LEG_20_81 , AIR2 , 2000-01-20 , 17:25 , BASE1 , 2000-01-20 , 18:47
LEG_20_82 , BASE1 , 2000-01-20 , 20:11 , AIR27 , 2000-01-20 , 22:07
LEG_20_83 , AIR27 , 2000-01-20 , 22:55 , BASE1 , 2000-01-21 , 01:12
LEG_20_84 , BASE2 , 2000-01-20 , 21:08 , AIR8 , 2000-01-20 , 22:59
LEG_20_85 , AIR3 , 2000-01-20 , 18:15 , BASE1 , 2000-01-20 , 19:13
LEG_20_86 , BASE1 , 2000-01-20 , 20:35 , AIR6 , 2000-01-20 , 23:05
LEG_20_87 , AIR28 , 2000-01-20 , 13:15 , BASE2 , 2000-01-20 , 15:11
LEG_20_88 , BASE2 , 2000-01-20 , 14:15 , AIR28 , 2000-01-20 , 16:00
LEG_20_89 , AIR28 , 2000-01-20 , 16:43 , BASE2 , 2000-01-20 , 18:39
LEG_20_90 , BASE2 , 2000-01-20 , 19:28 , AIR21 , 2000-01-20 , 21:15
LEG_20_91 , BASE2 , 2000-01-20 , 17:50 , AIR28 , 2000-01-20 , 19:36
LEG_20_92 , AIR12 , 2000-01-20 , 15:50 , BASE2 , 2000-01-20 , 16:59
LEG_20_93 , BASE2 , 2000-01-20 , 23:24 , AIR29 , 2000-01-21 , 00:16
LEG_20_94 , AIR28 , 2000-01-20 , 20:28 , BASE2 , 2000-01-20 , 22:22
LEG_20_95 , BASE2 , 2000-01-20 , 21:15 , AIR28 , 2000-01-20 , 23:01
LEG_20_96 , AIR12 , 2000-01-20 , 18:40 , BASE2 , 2000-01-20 , 19:53
LEG_20_97 , BASE2 , 2000-01-20 , 20:55 , AIR7 , 2000-01-20 , 22:09
LEG_20_98 , AIR11 , 2000-01-20 , 10:35 , BASE2 , 2000-01-20 , 11:48
LEG_20_99 , BASE2 , 2000-01-20 , 00:52 , AIR11 , 2000-01-20 , 01:58
