#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_11_0 , BASE1 , 2000-01-11 , 11:00 , AIR7 , 2000-01-11 , 12:12
LEG_11_1 , BASE1 , 2000-01-11 , 12:00 , AIR7 , 2000-01-11 , 13:13
LEG_11_2 , AIR7 , 2000-01-11 , 13:00 , BASE1 , 2000-01-11 , 14:24
LEG_11_3 , BASE1 , 2000-01-11 , 00:00 , AIR7 , 2000-01-11 , 01:27
LEG_11_4 , AIR1 , 2000-01-11 , 21:40 , BASE1 , 2000-01-11 , 23:00
LEG_11_5 , BASE1 , 2000-01-11 , 03:15 , AIR1 , 2000-01-11 , 04:35
LEG_11_6 , AIR7 , 2000-01-11 , 01:00 , BASE1 , 2000-01-11 , 02:32
LEG_11_7 , AIR7 , 2000-01-11 , 14:05 , BASE2 , 2000-01-11 , 15:19
LEG_11_8 , BASE2 , 2000-01-11 , 23:12 , BASE3 , 2000-01-12 , 01:12
LEG_11_9 , AIR1 , 2000-01-11 , 16:09 , BASE1 , 2000-01-11 , 17:30
LEG_11_10 , BASE1 , 2000-01-11 , 18:40 , AIR2 , 2000-01-11 , 20:09
LEG_11_11 , AIR2 , 2000-01-11 , 23:10 , BASE1 , 2000-01-12 , 00:31
LEG_11_12 , BASE1 , 2000-01-11 , 01:52 , AIR24 , 2000-01-11 , 02:53
LEG_11_13 , AIR2 , 2000-01-11 , 19:25 , BASE1 , 2000-01-11 , 20:44
LEG_11_14 , BASE1 , 2000-01-11 , 03:11 , AIR3 , 2000-01-11 , 04:08
LEG_11_15 , AIR2 , 2000-01-11 , 00:55 , BASE1 , 2000-01-11 , 02:20
LEG_11_16 , AIR3 , 2000-01-11 , 13:20 , BASE1 , 2000-01-11 , 14:19
LEG_11_17 , BASE1 , 2000-01-11 , 15:11 , AIR2 , 2000-01-11 , 16:40
LEG_11_18 , BASE1 , 2000-01-11 , 16:18 , AIR2 , 2000-01-11 , 17:39
LEG_11_19 , BASE1 , 2000-01-11 , 20:26 , AIR2 , 2000-01-11 , 21:56
LEG_11_20 , BASE1 , 2000-01-11 , 22:24 , AIR2 , 2000-01-11 , 23:52
LEG_11_21 , AIR5 , 2000-01-11 , 20:10 , BASE2 , 2000-01-11 , 22:08
LEG_11_22 , BASE2 , 2000-01-11 , 23:00 , BASE3 , 2000-01-12 , 01:00
LEG_11_23 , BASE2 , 2000-01-11 , 17:41 , AIR5 , 2000-01-11 , 19:23
LEG_11_24 , BASE3 , 2000-01-11 , 15:00 , BASE2 , 2000-01-11 , 16:54
LEG_11_25 , BASE2 , 2000-01-11 , 19:10 , BASE3 , 2000-01-11 , 21:09
LEG_11_26 , BASE3 , 2000-01-11 , 02:10 , BASE2 , 2000-01-11 , 03:59
LEG_11_27 , BASE2 , 2000-01-11 , 19:07 , BASE3 , 2000-01-11 , 21:06
LEG_11_28 , AIR6 , 2000-01-11 , 16:45 , BASE2 , 2000-01-11 , 18:20
LEG_11_29 , BASE2 , 2000-01-11 , 19:13 , AIR7 , 2000-01-11 , 20:30
LEG_11_30 , AIR8 , 2000-01-11 , 16:35 , BASE2 , 2000-01-11 , 18:25
LEG_11_31 , AIR9 , 2000-01-11 , 11:00 , BASE2 , 2000-01-11 , 11:39
LEG_11_32 , BASE2 , 2000-01-11 , 12:46 , AIR8 , 2000-01-11 , 14:20
LEG_11_33 , AIR8 , 2000-01-11 , 15:05 , BASE2 , 2000-01-11 , 16:56
LEG_11_34 , AIR10 , 2000-01-11 , 12:10 , BASE2 , 2000-01-11 , 13:26
LEG_11_35 , BASE2 , 2000-01-11 , 14:14 , AIR8 , 2000-01-11 , 15:51
LEG_11_36 , AIR11 , 2000-01-11 , 16:55 , BASE2 , 2000-01-11 , 18:12
LEG_11_37 , BASE2 , 2000-01-11 , 19:32 , AIR12 , 2000-01-11 , 20:42
LEG_11_38 , BASE2 , 2000-01-11 , 21:11 , AIR11 , 2000-01-11 , 22:19
LEG_11_39 , AIR4 , 2000-01-11 , 18:45 , BASE2 , 2000-01-11 , 20:01
LEG_11_40 , BASE2 , 2000-01-11 , 19:38 , AIR14 , 2000-01-11 , 22:20
LEG_11_41 , AIR14 , 2000-01-11 , 21:25 , BASE2 , 2000-01-12 , 00:06
LEG_11_42 , BASE3 , 2000-01-11 , 13:36 , BASE1 , 2000-01-11 , 15:45
LEG_11_43 , AIR15 , 2000-01-11 , 11:25 , BASE3 , 2000-01-11 , 12:50
LEG_11_44 , BASE3 , 2000-01-11 , 17:35 , BASE1 , 2000-01-11 , 19:40
LEG_11_45 , AIR7 , 2000-01-11 , 21:15 , BASE2 , 2000-01-11 , 22:26
LEG_11_46 , BASE2 , 2000-01-11 , 23:14 , AIR16 , 2000-01-12 , 01:33
LEG_11_47 , AIR16 , 2000-01-11 , 12:45 , BASE2 , 2000-01-11 , 15:06
LEG_11_48 , BASE2 , 2000-01-11 , 16:11 , AIR17 , 2000-01-11 , 17:25
LEG_11_49 , AIR7 , 2000-01-11 , 11:20 , BASE3 , 2000-01-11 , 13:03
LEG_11_50 , AIR18 , 2000-01-11 , 13:05 , BASE2 , 2000-01-11 , 14:57
LEG_11_51 , BASE2 , 2000-01-11 , 17:33 , AIR19 , 2000-01-11 , 20:16
LEG_11_52 , AIR19 , 2000-01-11 , 21:00 , BASE2 , 2000-01-11 , 23:44
LEG_11_53 , BASE2 , 2000-01-11 , 00:57 , AIR38 , 2000-01-11 , 02:00
LEG_11_54 , BASE2 , 2000-01-11 , 23:13 , AIR4 , 2000-01-12 , 00:28
LEG_11_55 , AIR18 , 2000-01-11 , 20:20 , BASE2 , 2000-01-11 , 22:16
LEG_11_56 , BASE2 , 2000-01-11 , 16:14 , AIR18 , 2000-01-11 , 18:22
LEG_11_57 , AIR20 , 2000-01-11 , 14:40 , BASE2 , 2000-01-11 , 15:24
LEG_11_58 , BASE2 , 2000-01-11 , 21:01 , AIR18 , 2000-01-11 , 23:05
LEG_11_59 , AIR2 , 2000-01-11 , 18:25 , BASE2 , 2000-01-11 , 20:20
LEG_11_60 , BASE2 , 2000-01-11 , 17:34 , AIR18 , 2000-01-11 , 19:29
LEG_11_61 , BASE1 , 2000-01-11 , 12:17 , AIR21 , 2000-01-11 , 13:52
LEG_11_62 , AIR22 , 2000-01-11 , 22:40 , BASE1 , 2000-01-12 , 00:41
LEG_11_63 , AIR22 , 2000-01-11 , 13:00 , BASE1 , 2000-01-11 , 15:03
LEG_11_64 , AIR2 , 2000-01-11 , 21:00 , BASE1 , 2000-01-11 , 22:26
LEG_11_65 , BASE1 , 2000-01-11 , 23:37 , AIR23 , 2000-01-12 , 02:02
LEG_11_66 , BASE2 , 2000-01-11 , 16:15 , AIR2 , 2000-01-11 , 18:22
LEG_11_67 , AIR12 , 2000-01-11 , 21:30 , BASE1 , 2000-01-11 , 22:50
LEG_11_68 , BASE1 , 2000-01-11 , 15:10 , BASE2 , 2000-01-11 , 16:52
LEG_11_69 , BASE2 , 2000-01-11 , 17:45 , BASE1 , 2000-01-11 , 19:31
