#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_27_0 , AIR1 , 2000-01-27 , 12:40 , BASE1 , 2000-01-27 , 13:59
LEG_27_1 , BASE1 , 2000-01-27 , 21:00 , AIR7 , 2000-01-27 , 22:20
LEG_27_2 , BASE1 , 2000-01-27 , 00:12 , AIR2 , 2000-01-27 , 01:47
LEG_27_3 , BASE1 , 2000-01-27 , 03:11 , AIR3 , 2000-01-27 , 04:08
LEG_27_4 , AIR7 , 2000-01-27 , 13:10 , BASE2 , 2000-01-27 , 14:21
LEG_27_5 , AIR11 , 2000-01-27 , 17:50 , BASE2 , 2000-01-27 , 19:07
LEG_27_6 , BASE2 , 2000-01-27 , 20:05 , BASE3 , 2000-01-27 , 22:07
LEG_27_7 , BASE2 , 2000-01-27 , 22:25 , AIR13 , 2000-01-27 , 23:05
LEG_27_8 , BASE3 , 2000-01-27 , 19:06 , BASE2 , 2000-01-27 , 20:59
LEG_27_9 , BASE2 , 2000-01-27 , 18:40 , AIR27 , 2000-01-27 , 19:50
LEG_27_10 , BASE3 , 2000-01-27 , 15:55 , BASE2 , 2000-01-27 , 17:44
LEG_27_11 , AIR37 , 2000-01-27 , 21:15 , BASE2 , 2000-01-27 , 23:18
LEG_27_12 , AIR44 , 2000-01-27 , 18:30 , BASE2 , 2000-01-27 , 19:20
LEG_27_13 , BASE2 , 2000-01-27 , 20:10 , BASE3 , 2000-01-27 , 22:12
LEG_27_14 , BASE3 , 2000-01-27 , 02:10 , BASE2 , 2000-01-27 , 03:59
LEG_27_15 , BASE2 , 2000-01-27 , 20:16 , AIR42 , 2000-01-27 , 22:10
LEG_27_16 , AIR7 , 2000-01-27 , 18:05 , BASE2 , 2000-01-27 , 19:22
LEG_27_17 , BASE2 , 2000-01-27 , 14:02 , AIR4 , 2000-01-27 , 15:20
LEG_27_18 , AIR42 , 2000-01-27 , 23:00 , BASE2 , 2000-01-28 , 01:16
LEG_27_19 , AIR29 , 2000-01-27 , 22:05 , BASE2 , 2000-01-27 , 22:57
LEG_27_20 , BASE2 , 2000-01-27 , 01:16 , AIR20 , 2000-01-27 , 02:05
LEG_27_21 , BASE2 , 2000-01-27 , 15:15 , AIR14 , 2000-01-27 , 17:47
LEG_27_22 , BASE3 , 2000-01-27 , 14:35 , BASE1 , 2000-01-27 , 16:38
LEG_27_23 , BASE3 , 2000-01-27 , 18:35 , BASE1 , 2000-01-27 , 20:37
LEG_27_24 , BASE2 , 2000-01-27 , 14:01 , AIR18 , 2000-01-27 , 16:06
LEG_27_25 , BASE2 , 2000-01-27 , 18:31 , AIR17 , 2000-01-27 , 19:32
LEG_27_26 , AIR18 , 2000-01-27 , 17:05 , BASE2 , 2000-01-27 , 19:03
LEG_27_27 , BASE2 , 2000-01-27 , 20:00 , AIR7 , 2000-01-27 , 21:11
LEG_27_28 , BASE2 , 2000-01-27 , 18:34 , AIR18 , 2000-01-27 , 20:31
LEG_27_29 , AIR4 , 2000-01-27 , 16:20 , BASE2 , 2000-01-27 , 17:33
LEG_27_30 , AIR18 , 2000-01-27 , 21:20 , BASE2 , 2000-01-27 , 23:17
LEG_27_31 , AIR18 , 2000-01-27 , 14:05 , BASE2 , 2000-01-27 , 15:59
LEG_27_32 , BASE2 , 2000-01-27 , 17:01 , AIR20 , 2000-01-27 , 17:46
LEG_27_33 , AIR17 , 2000-01-27 , 20:25 , BASE1 , 2000-01-27 , 22:10
LEG_27_34 , AIR27 , 2000-01-27 , 12:05 , BASE1 , 2000-01-27 , 14:24
LEG_27_35 , AIR22 , 2000-01-27 , 22:00 , BASE2 , 2000-01-27 , 23:04
LEG_27_36 , BASE2 , 2000-01-27 , 20:14 , AIR2 , 2000-01-27 , 22:16
LEG_27_37 , BASE2 , 2000-01-27 , 14:09 , AIR17 , 2000-01-27 , 15:20
LEG_27_38 , AIR8 , 2000-01-27 , 11:10 , BASE2 , 2000-01-27 , 13:06
LEG_27_39 , BASE1 , 2000-01-27 , 22:58 , BASE2 , 2000-01-28 , 00:47
LEG_27_40 , AIR41 , 2000-01-27 , 14:10 , BASE2 , 2000-01-27 , 16:08
LEG_27_41 , BASE2 , 2000-01-27 , 20:05 , BASE1 , 2000-01-27 , 21:56
LEG_27_42 , AIR13 , 2000-01-27 , 18:35 , BASE2 , 2000-01-27 , 19:19
LEG_27_43 , BASE1 , 2000-01-27 , 23:02 , BASE2 , 2000-01-28 , 00:51
LEG_27_44 , BASE2 , 2000-01-27 , 20:15 , BASE1 , 2000-01-27 , 22:06
LEG_27_45 , BASE1 , 2000-01-27 , 19:02 , BASE2 , 2000-01-27 , 20:49
LEG_27_46 , BASE2 , 2000-01-27 , 20:11 , BASE1 , 2000-01-27 , 22:02
LEG_27_47 , BASE1 , 2000-01-27 , 23:06 , AIR45 , 2000-01-28 , 00:08
LEG_27_48 , BASE1 , 2000-01-27 , 15:01 , AIR25 , 2000-01-27 , 16:25
LEG_27_49 , BASE1 , 2000-01-27 , 19:16 , AIR17 , 2000-01-27 , 20:55
LEG_27_50 , AIR25 , 2000-01-27 , 17:05 , BASE1 , 2000-01-27 , 18:29
LEG_27_51 , AIR26 , 2000-01-27 , 00:05 , BASE3 , 2000-01-27 , 01:22
LEG_27_52 , BASE3 , 2000-01-27 , 14:45 , AIR26 , 2000-01-27 , 16:05
LEG_27_53 , AIR26 , 2000-01-27 , 16:45 , BASE3 , 2000-01-27 , 18:02
LEG_27_54 , BASE2 , 2000-01-27 , 21:57 , AIR22 , 2000-01-27 , 22:48
LEG_27_55 , AIR12 , 2000-01-27 , 16:00 , BASE3 , 2000-01-27 , 17:46
LEG_27_56 , BASE3 , 2000-01-27 , 18:45 , AIR26 , 2000-01-27 , 19:57
LEG_27_57 , AIR7 , 2000-01-27 , 16:15 , BASE3 , 2000-01-27 , 17:57
LEG_27_58 , BASE3 , 2000-01-27 , 23:20 , AIR7 , 2000-01-28 , 01:05
LEG_27_59 , AIR17 , 2000-01-27 , 21:50 , BASE2 , 2000-01-27 , 22:55
LEG_27_60 , AIR17 , 2000-01-27 , 19:50 , BASE2 , 2000-01-27 , 20:59
LEG_27_61 , BASE2 , 2000-01-27 , 17:11 , AIR17 , 2000-01-27 , 18:20
LEG_27_62 , AIR29 , 2000-01-27 , 15:34 , BASE2 , 2000-01-27 , 16:26
LEG_27_63 , BASE1 , 2000-01-27 , 13:02 , AIR29 , 2000-01-27 , 14:19
LEG_27_64 , AIR29 , 2000-01-27 , 15:00 , BASE1 , 2000-01-27 , 16:33
