#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_28_0 , AIR1 , 2000-01-28 , 12:40 , BASE1 , 2000-01-28 , 13:59
LEG_28_1 , BASE1 , 2000-01-28 , 15:00 , AIR7 , 2000-01-28 , 16:15
LEG_28_2 , BASE1 , 2000-01-28 , 16:00 , AIR7 , 2000-01-28 , 17:18
LEG_28_3 , AIR7 , 2000-01-28 , 17:00 , BASE1 , 2000-01-28 , 18:27
LEG_28_4 , BASE1 , 2000-01-28 , 21:00 , AIR7 , 2000-01-28 , 22:20
LEG_28_5 , BASE1 , 2000-01-28 , 01:00 , AIR7 , 2000-01-28 , 02:27
LEG_28_6 , BASE1 , 2000-01-28 , 02:52 , AIR24 , 2000-01-28 , 04:00
LEG_28_7 , AIR7 , 2000-01-28 , 00:00 , BASE1 , 2000-01-28 , 01:30
LEG_28_8 , AIR7 , 2000-01-28 , 02:00 , BASE1 , 2000-01-28 , 03:31
LEG_28_9 , AIR11 , 2000-01-28 , 17:50 , BASE2 , 2000-01-28 , 19:07
LEG_28_10 , BASE2 , 2000-01-28 , 20:05 , BASE3 , 2000-01-28 , 22:07
LEG_28_11 , BASE2 , 2000-01-28 , 22:25 , AIR13 , 2000-01-28 , 23:05
LEG_28_12 , BASE3 , 2000-01-28 , 19:06 , BASE2 , 2000-01-28 , 20:59
LEG_28_13 , BASE2 , 2000-01-28 , 18:40 , AIR27 , 2000-01-28 , 19:50
LEG_28_14 , BASE3 , 2000-01-28 , 15:55 , BASE2 , 2000-01-28 , 17:44
LEG_28_15 , BASE2 , 2000-01-28 , 00:05 , BASE3 , 2000-01-28 , 02:05
LEG_28_16 , AIR37 , 2000-01-28 , 21:15 , BASE2 , 2000-01-28 , 23:18
LEG_28_17 , BASE3 , 2000-01-28 , 03:15 , AIR33 , 2000-01-28 , 04:00
LEG_28_18 , BASE2 , 2000-01-28 , 00:10 , BASE3 , 2000-01-28 , 02:10
LEG_28_19 , AIR44 , 2000-01-28 , 18:30 , BASE2 , 2000-01-28 , 19:20
LEG_28_20 , BASE2 , 2000-01-28 , 20:10 , BASE3 , 2000-01-28 , 22:12
LEG_28_21 , BASE3 , 2000-01-28 , 03:15 , BASE2 , 2000-01-28 , 04:58
LEG_28_22 , BASE2 , 2000-01-28 , 20:16 , AIR42 , 2000-01-28 , 22:10
LEG_28_23 , AIR7 , 2000-01-28 , 18:05 , BASE2 , 2000-01-28 , 19:22
LEG_28_24 , AIR42 , 2000-01-28 , 11:00 , BASE2 , 2000-01-28 , 13:16
LEG_28_25 , BASE2 , 2000-01-28 , 14:02 , AIR4 , 2000-01-28 , 15:20
LEG_28_26 , BASE2 , 2000-01-28 , 02:16 , AIR20 , 2000-01-28 , 03:02
LEG_28_27 , AIR42 , 2000-01-28 , 23:00 , BASE2 , 2000-01-29 , 01:16
LEG_28_28 , BASE2 , 2000-01-28 , 00:08 , AIR42 , 2000-01-28 , 02:04
LEG_28_29 , AIR29 , 2000-01-28 , 22:05 , BASE2 , 2000-01-28 , 22:57
LEG_28_30 , BASE1 , 2000-01-28 , 20:15 , BASE3 , 2000-01-28 , 22:11
LEG_28_31 , BASE3 , 2000-01-28 , 14:35 , BASE1 , 2000-01-28 , 16:38
LEG_28_32 , BASE3 , 2000-01-28 , 18:35 , BASE1 , 2000-01-28 , 20:37
LEG_28_33 , AIR18 , 2000-01-28 , 11:00 , BASE2 , 2000-01-28 , 12:56
LEG_28_34 , BASE2 , 2000-01-28 , 13:56 , AIR13 , 2000-01-28 , 14:39
LEG_28_35 , AIR27 , 2000-01-28 , 11:30 , BASE2 , 2000-01-28 , 12:46
LEG_28_36 , BASE2 , 2000-01-28 , 14:01 , AIR18 , 2000-01-28 , 16:06
LEG_28_37 , AIR18 , 2000-01-28 , 15:40 , BASE2 , 2000-01-28 , 17:40
LEG_28_38 , BASE2 , 2000-01-28 , 18:31 , AIR17 , 2000-01-28 , 19:32
LEG_28_39 , AIR18 , 2000-01-28 , 17:05 , BASE2 , 2000-01-28 , 19:03
LEG_28_40 , BASE2 , 2000-01-28 , 20:00 , AIR7 , 2000-01-28 , 21:11
LEG_28_41 , BASE2 , 2000-01-28 , 18:34 , AIR18 , 2000-01-28 , 20:31
LEG_28_42 , AIR4 , 2000-01-28 , 16:20 , BASE2 , 2000-01-28 , 17:33
LEG_28_43 , BASE2 , 2000-01-28 , 00:13 , AIR4 , 2000-01-28 , 01:29
LEG_28_44 , AIR18 , 2000-01-28 , 21:20 , BASE2 , 2000-01-28 , 23:17
LEG_28_45 , BASE2 , 2000-01-28 , 11:59 , AIR18 , 2000-01-28 , 14:02
LEG_28_46 , AIR18 , 2000-01-28 , 14:05 , BASE2 , 2000-01-28 , 15:59
LEG_28_47 , BASE2 , 2000-01-28 , 17:01 , AIR20 , 2000-01-28 , 17:46
LEG_28_48 , BASE2 , 2000-01-28 , 02:02 , AIR18 , 2000-01-28 , 04:04
LEG_28_49 , AIR13 , 2000-01-28 , 00:30 , BASE2 , 2000-01-28 , 01:11
LEG_28_50 , AIR17 , 2000-01-28 , 12:20 , BASE1 , 2000-01-28 , 14:10
LEG_28_51 , AIR17 , 2000-01-28 , 20:25 , BASE1 , 2000-01-28 , 22:10
LEG_28_52 , BASE2 , 2000-01-28 , 00:01 , AIR8 , 2000-01-28 , 01:38
LEG_28_53 , AIR22 , 2000-01-28 , 22:00 , BASE2 , 2000-01-28 , 23:04
LEG_28_54 , AIR8 , 2000-01-28 , 17:35 , BASE2 , 2000-01-28 , 19:29
LEG_28_55 , BASE2 , 2000-01-28 , 20:14 , AIR2 , 2000-01-28 , 22:16
LEG_28_56 , BASE2 , 2000-01-28 , 14:09 , AIR17 , 2000-01-28 , 15:20
LEG_28_57 , AIR8 , 2000-01-28 , 11:10 , BASE2 , 2000-01-28 , 13:06
LEG_28_58 , AIR8 , 2000-01-28 , 12:15 , BASE2 , 2000-01-28 , 14:17
LEG_28_59 , BASE2 , 2000-01-28 , 15:15 , AIR8 , 2000-01-28 , 16:49
LEG_28_60 , AIR2 , 2000-01-28 , 12:10 , BASE2 , 2000-01-28 , 14:05
LEG_28_61 , BASE1 , 2000-01-28 , 22:58 , BASE2 , 2000-01-29 , 00:47
LEG_28_62 , BASE2 , 2000-01-28 , 17:28 , BASE1 , 2000-01-28 , 19:25
LEG_28_63 , AIR41 , 2000-01-28 , 14:10 , BASE2 , 2000-01-28 , 16:08
LEG_28_64 , BASE2 , 2000-01-28 , 20:05 , BASE1 , 2000-01-28 , 21:56
LEG_28_65 , AIR13 , 2000-01-28 , 18:35 , BASE2 , 2000-01-28 , 19:19
LEG_28_66 , BASE1 , 2000-01-28 , 23:02 , BASE2 , 2000-01-29 , 00:51
LEG_28_67 , BASE2 , 2000-01-28 , 20:15 , BASE1 , 2000-01-28 , 22:06
LEG_28_68 , BASE1 , 2000-01-28 , 19:02 , BASE2 , 2000-01-28 , 20:49
LEG_28_69 , BASE2 , 2000-01-28 , 20:11 , BASE1 , 2000-01-28 , 22:02
LEG_28_70 , BASE1 , 2000-01-28 , 23:06 , AIR45 , 2000-01-29 , 00:08
LEG_28_71 , BASE2 , 2000-01-28 , 02:30 , BASE1 , 2000-01-28 , 04:14
LEG_28_72 , AIR3 , 2000-01-28 , 13:00 , BASE1 , 2000-01-28 , 14:03
LEG_28_73 , BASE1 , 2000-01-28 , 15:01 , AIR25 , 2000-01-28 , 16:25
