#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_25_0 , BASE1 , 2000-01-25 , 11:00 , AIR7 , 2000-01-25 , 12:12
LEG_25_1 , BASE1 , 2000-01-25 , 12:00 , AIR7 , 2000-01-25 , 13:13
LEG_25_2 , AIR7 , 2000-01-25 , 13:00 , BASE1 , 2000-01-25 , 14:24
LEG_25_3 , BASE1 , 2000-01-25 , 00:00 , AIR7 , 2000-01-25 , 01:27
LEG_25_4 , AIR1 , 2000-01-25 , 21:40 , BASE1 , 2000-01-25 , 23:00
LEG_25_5 , BASE1 , 2000-01-25 , 03:15 , AIR1 , 2000-01-25 , 04:35
LEG_25_6 , AIR7 , 2000-01-25 , 01:00 , BASE1 , 2000-01-25 , 02:32
LEG_25_7 , AIR7 , 2000-01-25 , 14:05 , BASE2 , 2000-01-25 , 15:19
LEG_25_8 , BASE2 , 2000-01-25 , 23:12 , BASE3 , 2000-01-26 , 01:12
LEG_25_9 , AIR1 , 2000-01-25 , 16:09 , BASE1 , 2000-01-25 , 17:30
LEG_25_10 , BASE1 , 2000-01-25 , 18:40 , AIR2 , 2000-01-25 , 20:09
LEG_25_11 , AIR2 , 2000-01-25 , 23:10 , BASE1 , 2000-01-26 , 00:31
LEG_25_12 , BASE1 , 2000-01-25 , 01:52 , AIR24 , 2000-01-25 , 02:53
LEG_25_13 , AIR2 , 2000-01-25 , 19:25 , BASE1 , 2000-01-25 , 20:44
LEG_25_14 , BASE1 , 2000-01-25 , 03:11 , AIR3 , 2000-01-25 , 04:08
LEG_25_15 , AIR2 , 2000-01-25 , 00:55 , BASE1 , 2000-01-25 , 02:20
LEG_25_16 , AIR3 , 2000-01-25 , 13:20 , BASE1 , 2000-01-25 , 14:19
LEG_25_17 , BASE1 , 2000-01-25 , 15:11 , AIR2 , 2000-01-25 , 16:40
LEG_25_18 , BASE1 , 2000-01-25 , 16:18 , AIR2 , 2000-01-25 , 17:39
LEG_25_19 , BASE1 , 2000-01-25 , 20:26 , AIR2 , 2000-01-25 , 21:56
LEG_25_20 , BASE1 , 2000-01-25 , 22:24 , AIR2 , 2000-01-25 , 23:52
LEG_25_21 , AIR5 , 2000-01-25 , 20:10 , BASE2 , 2000-01-25 , 22:08
LEG_25_22 , BASE2 , 2000-01-25 , 23:00 , BASE3 , 2000-01-26 , 01:00
LEG_25_23 , BASE2 , 2000-01-25 , 17:41 , AIR5 , 2000-01-25 , 19:23
LEG_25_24 , BASE3 , 2000-01-25 , 15:00 , BASE2 , 2000-01-25 , 16:54
LEG_25_25 , BASE2 , 2000-01-25 , 19:10 , BASE3 , 2000-01-25 , 21:09
LEG_25_26 , BASE3 , 2000-01-25 , 02:10 , BASE2 , 2000-01-25 , 03:59
LEG_25_27 , BASE2 , 2000-01-25 , 19:07 , BASE3 , 2000-01-25 , 21:06
LEG_25_28 , AIR6 , 2000-01-25 , 16:45 , BASE2 , 2000-01-25 , 18:20
LEG_25_29 , BASE2 , 2000-01-25 , 19:13 , AIR7 , 2000-01-25 , 20:30
LEG_25_30 , AIR8 , 2000-01-25 , 16:35 , BASE2 , 2000-01-25 , 18:25
LEG_25_31 , AIR9 , 2000-01-25 , 11:00 , BASE2 , 2000-01-25 , 11:39
