"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 9     , 24    , 5    
Day2  , 14    , 31    , 9    
Day3  , 14    , 31    , 9    
Day4  , 15    , 29    , 9    
Day5  , 10    , 29    , 10   
Day6  , 10    , 26    , 10   
Day7  , 14    , 30    , 9    
Day8  , 14    , 30    , 10   
Day9  , 15    , 29    , 9    
Day10 , 16    , 29    , 9    
Day11 , 16    , 28    , 10   
Day12 , 12    , 26    , 9    
Day13 , 11    , 25    , 11   
Day14 , 14    , 30    , 8    
Day15 , 16    , 28    , 9    
Day16 , 17    , 27    , 10   
Day17 , 16    , 28    , 10   
Day18 , 17    , 28    , 9    
Day19 , 12    , 24    , 10   
Day20 , 13    , 23    , 9    
Day21 , 15    , 27    , 9    
Day22 , 17    , 26    , 11   
Day23 , 17    , 27    , 11   
Day24 , 15    , 28    , 11   
Day25 , 17    , 25    , 10   
Day26 , 13    , 25    , 9    
Day27 , 11    , 22    , 9    
Day28 , 18    , 28    , 12   
Day29 , 19    , 29    , 13   
Day30 , 18    , 29    , 12   
Day31 , 14    , 28    , 9    
