#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_14_0 , BASE1 , 2000-01-14 , 11:00 , AIR7 , 2000-01-14 , 12:12
LEG_14_1 , AIR7 , 2000-01-14 , 13:00 , BASE1 , 2000-01-14 , 14:24
LEG_14_2 , BASE1 , 2000-01-14 , 00:00 , AIR7 , 2000-01-14 , 01:27
LEG_14_3 , AIR1 , 2000-01-14 , 21:40 , BASE1 , 2000-01-14 , 23:00
LEG_14_4 , BASE2 , 2000-01-14 , 23:12 , BASE3 , 2000-01-15 , 01:12
LEG_14_5 , AIR1 , 2000-01-14 , 16:09 , BASE1 , 2000-01-14 , 17:30
LEG_14_6 , BASE1 , 2000-01-14 , 18:40 , AIR2 , 2000-01-14 , 20:09
LEG_14_7 , AIR2 , 2000-01-14 , 23:10 , BASE1 , 2000-01-15 , 00:31
LEG_14_8 , BASE1 , 2000-01-14 , 01:52 , AIR24 , 2000-01-14 , 02:53
LEG_14_9 , AIR2 , 2000-01-14 , 19:25 , BASE1 , 2000-01-14 , 20:44
LEG_14_10 , BASE1 , 2000-01-14 , 03:11 , AIR3 , 2000-01-14 , 04:08
LEG_14_11 , AIR2 , 2000-01-14 , 00:55 , BASE1 , 2000-01-14 , 02:20
LEG_14_12 , AIR3 , 2000-01-14 , 13:20 , BASE1 , 2000-01-14 , 14:19
LEG_14_13 , BASE1 , 2000-01-14 , 15:11 , AIR2 , 2000-01-14 , 16:40
LEG_14_14 , BASE1 , 2000-01-14 , 16:18 , AIR2 , 2000-01-14 , 17:39
LEG_14_15 , BASE1 , 2000-01-14 , 20:26 , AIR2 , 2000-01-14 , 21:56
LEG_14_16 , BASE1 , 2000-01-14 , 22:24 , AIR2 , 2000-01-14 , 23:52
LEG_14_17 , AIR5 , 2000-01-14 , 20:10 , BASE2 , 2000-01-14 , 22:08
LEG_14_18 , BASE2 , 2000-01-14 , 23:00 , BASE3 , 2000-01-15 , 01:00
LEG_14_19 , BASE2 , 2000-01-14 , 17:41 , AIR5 , 2000-01-14 , 19:23
LEG_14_20 , BASE3 , 2000-01-14 , 15:00 , BASE2 , 2000-01-14 , 16:54
LEG_14_21 , BASE2 , 2000-01-14 , 19:10 , BASE3 , 2000-01-14 , 21:09
LEG_14_22 , BASE2 , 2000-01-14 , 19:07 , BASE3 , 2000-01-14 , 21:06
LEG_14_23 , AIR6 , 2000-01-14 , 16:45 , BASE2 , 2000-01-14 , 18:20
LEG_14_24 , AIR8 , 2000-01-14 , 13:20 , BASE2 , 2000-01-14 , 15:18
LEG_14_25 , BASE2 , 2000-01-14 , 10:41 , AIR8 , 2000-01-14 , 12:22
LEG_14_26 , BASE2 , 2000-01-14 , 19:13 , AIR7 , 2000-01-14 , 20:30
LEG_14_27 , AIR8 , 2000-01-14 , 16:35 , BASE2 , 2000-01-14 , 18:25
LEG_14_28 , AIR9 , 2000-01-14 , 11:00 , BASE2 , 2000-01-14 , 11:39
LEG_14_29 , BASE2 , 2000-01-14 , 12:46 , AIR8 , 2000-01-14 , 14:20
LEG_14_30 , AIR8 , 2000-01-14 , 15:05 , BASE2 , 2000-01-14 , 16:56
LEG_14_31 , AIR10 , 2000-01-14 , 12:10 , BASE2 , 2000-01-14 , 13:26
LEG_14_32 , BASE2 , 2000-01-14 , 14:14 , AIR8 , 2000-01-14 , 15:51
