"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 15    , 27    , 10   
Day2  , 15    , 27    , 10   
Day3  , 15    , 27    , 10   
Day4  , 15    , 27    , 10   
Day5  , 15    , 27    , 10   
Day6  , 15    , 27    , 10   
Day7  , 15    , 27    , 10   
Day8  , 15    , 27    , 10   
Day9  , 15    , 27    , 10   
Day10 , 15    , 27    , 10   
Day11 , 15    , 27    , 10   
Day12 , 15    , 27    , 10   
Day13 , 15    , 27    , 10   
Day14 , 15    , 27    , 10   
Day15 , 15    , 27    , 10   
Day16 , 15    , 27    , 10   
Day17 , 15    , 27    , 10   
Day18 , 15    , 27    , 10   
Day19 , 15    , 27    , 10   
Day20 , 15    , 27    , 10   
Day21 , 15    , 27    , 10   
Day22 , 15    , 27    , 10   
Day23 , 15    , 27    , 10   
Day24 , 15    , 27    , 10   
Day25 , 15    , 27    , 10   
Day26 , 15    , 27    , 10   
Day27 , 15    , 27    , 10   
Day28 , 15    , 27    , 10   
Day29 , 15    , 27    , 10   
Day30 , 15    , 27    , 10   
Day31 , 15    , 27    , 10   
