#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_10_0 , BASE1 , 2000-01-10 , 11:00 , AIR7 , 2000-01-10 , 12:12
LEG_10_1 , BASE1 , 2000-01-10 , 12:00 , AIR7 , 2000-01-10 , 13:13
LEG_10_2 , AIR7 , 2000-01-10 , 13:00 , BASE1 , 2000-01-10 , 14:24
LEG_10_3 , BASE1 , 2000-01-10 , 00:00 , AIR7 , 2000-01-10 , 01:27
LEG_10_4 , AIR1 , 2000-01-10 , 21:40 , BASE1 , 2000-01-10 , 23:00
LEG_10_5 , BASE1 , 2000-01-10 , 03:15 , AIR1 , 2000-01-10 , 04:35
LEG_10_6 , AIR7 , 2000-01-10 , 01:00 , BASE1 , 2000-01-10 , 02:32
LEG_10_7 , AIR7 , 2000-01-10 , 14:05 , BASE2 , 2000-01-10 , 15:19
LEG_10_8 , BASE2 , 2000-01-10 , 23:12 , BASE3 , 2000-01-11 , 01:12
LEG_10_9 , AIR1 , 2000-01-10 , 16:09 , BASE1 , 2000-01-10 , 17:30
LEG_10_10 , BASE1 , 2000-01-10 , 18:40 , AIR2 , 2000-01-10 , 20:09
LEG_10_11 , AIR2 , 2000-01-10 , 23:10 , BASE1 , 2000-01-11 , 00:31
LEG_10_12 , BASE1 , 2000-01-10 , 01:52 , AIR24 , 2000-01-10 , 02:53
LEG_10_13 , AIR2 , 2000-01-10 , 19:25 , BASE1 , 2000-01-10 , 20:44
LEG_10_14 , BASE1 , 2000-01-10 , 03:11 , AIR3 , 2000-01-10 , 04:08
LEG_10_15 , AIR2 , 2000-01-10 , 00:55 , BASE1 , 2000-01-10 , 02:20
LEG_10_16 , AIR3 , 2000-01-10 , 13:20 , BASE1 , 2000-01-10 , 14:19
LEG_10_17 , BASE1 , 2000-01-10 , 15:11 , AIR2 , 2000-01-10 , 16:40
LEG_10_18 , BASE1 , 2000-01-10 , 16:18 , AIR2 , 2000-01-10 , 17:39
LEG_10_19 , BASE1 , 2000-01-10 , 20:26 , AIR2 , 2000-01-10 , 21:56
LEG_10_20 , BASE1 , 2000-01-10 , 22:24 , AIR2 , 2000-01-10 , 23:52
LEG_10_21 , AIR5 , 2000-01-10 , 20:10 , BASE2 , 2000-01-10 , 22:08
LEG_10_22 , BASE2 , 2000-01-10 , 23:00 , BASE3 , 2000-01-11 , 01:00
LEG_10_23 , BASE2 , 2000-01-10 , 17:41 , AIR5 , 2000-01-10 , 19:23
LEG_10_24 , BASE3 , 2000-01-10 , 15:00 , BASE2 , 2000-01-10 , 16:54
LEG_10_25 , BASE2 , 2000-01-10 , 19:10 , BASE3 , 2000-01-10 , 21:09
LEG_10_26 , BASE3 , 2000-01-10 , 02:10 , BASE2 , 2000-01-10 , 03:59
LEG_10_27 , BASE2 , 2000-01-10 , 19:07 , BASE3 , 2000-01-10 , 21:06
LEG_10_28 , AIR6 , 2000-01-10 , 16:45 , BASE2 , 2000-01-10 , 18:20
LEG_10_29 , BASE2 , 2000-01-10 , 19:13 , AIR7 , 2000-01-10 , 20:30
LEG_10_30 , AIR8 , 2000-01-10 , 16:35 , BASE2 , 2000-01-10 , 18:25
LEG_10_31 , AIR9 , 2000-01-10 , 11:00 , BASE2 , 2000-01-10 , 11:39
LEG_10_32 , BASE2 , 2000-01-10 , 12:46 , AIR8 , 2000-01-10 , 14:20
LEG_10_33 , AIR8 , 2000-01-10 , 15:05 , BASE2 , 2000-01-10 , 16:56
LEG_10_34 , AIR10 , 2000-01-10 , 12:10 , BASE2 , 2000-01-10 , 13:26
LEG_10_35 , BASE2 , 2000-01-10 , 14:14 , AIR8 , 2000-01-10 , 15:51
LEG_10_36 , AIR11 , 2000-01-10 , 16:55 , BASE2 , 2000-01-10 , 18:12
