#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_01_0 , AIR1 , 2000-01-01 , 21:40 , BASE1 , 2000-01-01 , 23:00
LEG_01_1 , BASE2 , 2000-01-01 , 23:12 , BASE3 , 2000-01-02 , 01:12
LEG_01_2 , AIR1 , 2000-01-01 , 16:09 , BASE1 , 2000-01-01 , 17:30
LEG_01_3 , BASE1 , 2000-01-01 , 18:40 , AIR2 , 2000-01-01 , 20:09
LEG_01_4 , AIR2 , 2000-01-01 , 23:10 , BASE1 , 2000-01-02 , 00:31
LEG_01_5 , AIR2 , 2000-01-01 , 19:25 , BASE1 , 2000-01-01 , 20:44
LEG_01_7 , BASE1 , 2000-01-01 , 15:11 , AIR2 , 2000-01-01 , 16:40
LEG_01_8 , BASE1 , 2000-01-01 , 16:18 , AIR2 , 2000-01-01 , 17:39
LEG_01_9 , BASE1 , 2000-01-01 , 20:26 , AIR2 , 2000-01-01 , 21:56
LEG_01_11 , BASE1 , 2000-01-01 , 22:24 , AIR2 , 2000-01-01 , 23:52
LEG_01_13 , AIR5 , 2000-01-01 , 20:10 , BASE2 , 2000-01-01 , 22:08
LEG_01_14 , BASE2 , 2000-01-01 , 23:00 , BASE3 , 2000-01-02 , 01:00
LEG_01_15 , BASE2 , 2000-01-01 , 17:41 , AIR5 , 2000-01-01 , 19:23
LEG_01_16 , BASE3 , 2000-01-01 , 15:00 , BASE2 , 2000-01-01 , 16:54
LEG_01_17 , BASE2 , 2000-01-01 , 19:10 , BASE3 , 2000-01-01 , 21:09
LEG_01_18 , BASE2 , 2000-01-01 , 19:07 , BASE3 , 2000-01-01 , 21:06
LEG_01_19 , AIR6 , 2000-01-01 , 16:45 , BASE2 , 2000-01-01 , 18:20
LEG_01_20 , BASE2 , 2000-01-01 , 19:13 , AIR7 , 2000-01-01 , 20:30
LEG_01_21 , AIR8 , 2000-01-01 , 16:35 , BASE2 , 2000-01-01 , 18:25
LEG_01_23 , BASE2 , 2000-01-01 , 12:46 , AIR8 , 2000-01-01 , 14:20
LEG_01_24 , AIR8 , 2000-01-01 , 15:05 , BASE2 , 2000-01-01 , 16:56
LEG_01_26 , BASE2 , 2000-01-01 , 14:14 , AIR8 , 2000-01-01 , 15:51
LEG_01_27 , AIR11 , 2000-01-01 , 16:55 , BASE2 , 2000-01-01 , 18:12
LEG_01_28 , BASE2 , 2000-01-01 , 19:32 , AIR12 , 2000-01-01 , 20:42
LEG_01_29 , BASE2 , 2000-01-01 , 21:11 , AIR11 , 2000-01-01 , 22:19
LEG_01_30 , AIR13 , 2000-01-01 , 17:35 , BASE2 , 2000-01-01 , 18:21
LEG_01_31 , BASE2 , 2000-01-01 , 19:38 , AIR14 , 2000-01-01 , 22:20
LEG_01_32 , AIR14 , 2000-01-01 , 21:25 , BASE2 , 2000-01-02 , 00:06
LEG_01_33 , BASE3 , 2000-01-01 , 13:36 , BASE1 , 2000-01-01 , 15:45
LEG_01_35 , BASE3 , 2000-01-01 , 17:35 , BASE1 , 2000-01-01 , 19:40
LEG_01_36 , AIR7 , 2000-01-01 , 21:15 , BASE2 , 2000-01-01 , 22:26
LEG_01_37 , BASE2 , 2000-01-01 , 23:14 , AIR16 , 2000-01-02 , 01:33
LEG_01_39 , BASE2 , 2000-01-01 , 16:11 , AIR17 , 2000-01-01 , 17:25
LEG_01_42 , BASE2 , 2000-01-01 , 17:33 , AIR19 , 2000-01-01 , 20:16
LEG_01_43 , AIR19 , 2000-01-01 , 21:00 , BASE2 , 2000-01-01 , 23:44
LEG_01_44 , AIR18 , 2000-01-01 , 14:30 , BASE2 , 2000-01-01 , 16:35
LEG_01_45 , BASE2 , 2000-01-01 , 10:59 , AIR18 , 2000-01-01 , 13:04
