"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 2     , 7     , 2    
Day2  , 2     , 7     , 2    
Day3  , 2     , 7     , 2    
Day4  , 2     , 7     , 2    
Day5  , 2     , 7     , 2    
Day6  , 2     , 7     , 2    
Day7  , 2     , 7     , 2    
Day8  , 2     , 7     , 2    
Day9  , 2     , 7     , 2    
Day10 , 2     , 7     , 2    
Day11 , 2     , 7     , 2    
Day12 , 2     , 7     , 2    
Day13 , 2     , 7     , 2    
Day14 , 2     , 7     , 2    
Day15 , 2     , 7     , 2    
Day16 , 2     , 7     , 2    
Day17 , 2     , 7     , 2    
Day18 , 2     , 7     , 2    
Day19 , 2     , 7     , 2    
Day20 , 2     , 7     , 2    
Day21 , 2     , 7     , 2    
Day22 , 2     , 7     , 2    
Day23 , 2     , 7     , 2    
Day24 , 2     , 7     , 2    
Day25 , 2     , 7     , 2    
Day26 , 2     , 7     , 2    
Day27 , 2     , 7     , 2    
Day28 , 2     , 7     , 2    
Day29 , 2     , 7     , 2    
Day30 , 2     , 7     , 2    
Day31 , 2     , 7     , 2    
