#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_14_0 , AIR1 , 2000-01-14 , 12:00 , BASE1 , 2000-01-14 , 13:21
LEG_14_1 , BASE1 , 2000-01-14 , 14:13 , AIR2 , 2000-01-14 , 18:00
LEG_14_2 , AIR2 , 2000-01-14 , 22:35 , BASE1 , 2000-01-15 , 02:02
LEG_14_3 , BASE1 , 2000-01-14 , 03:01 , BASE3 , 2000-01-14 , 04:50
LEG_14_4 , BASE1 , 2000-01-14 , 23:38 , AIR3 , 2000-01-15 , 02:21
LEG_14_5 , AIR2 , 2000-01-14 , 19:05 , BASE1 , 2000-01-14 , 22:33
LEG_14_6 , BASE1 , 2000-01-14 , 16:32 , AIR2 , 2000-01-14 , 20:26
LEG_14_7 , AIR3 , 2000-01-14 , 12:15 , BASE1 , 2000-01-14 , 15:20
LEG_14_8 , BASE1 , 2000-01-14 , 01:00 , AIR28 , 2000-01-14 , 02:12
LEG_14_9 , AIR5 , 2000-01-14 , 20:15 , BASE2 , 2000-01-14 , 22:18
LEG_14_10 , BASE2 , 2000-01-14 , 23:09 , AIR4 , 2000-01-15 , 04:19
LEG_14_11 , BASE2 , 2000-01-14 , 21:31 , AIR6 , 2000-01-14 , 22:51
LEG_14_12 , AIR4 , 2000-01-14 , 15:35 , BASE2 , 2000-01-14 , 20:12
LEG_14_13 , BASE1 , 2000-01-14 , 00:12 , AIR1 , 2000-01-14 , 01:47
LEG_14_14 , BASE1 , 2000-01-14 , 12:10 , AIR7 , 2000-01-14 , 14:45
LEG_14_15 , AIR7 , 2000-01-14 , 18:15 , BASE1 , 2000-01-14 , 20:43
LEG_14_16 , BASE1 , 2000-01-14 , 22:20 , AIR7 , 2000-01-15 , 00:50
LEG_14_17 , AIR7 , 2000-01-14 , 21:55 , BASE1 , 2000-01-15 , 00:14
LEG_14_18 , BASE1 , 2000-01-14 , 18:41 , AIR7 , 2000-01-14 , 21:05
LEG_14_19 , BASE1 , 2000-01-14 , 14:29 , AIR7 , 2000-01-14 , 16:57
LEG_14_20 , BASE1 , 2000-01-14 , 23:57 , AIR7 , 2000-01-15 , 02:31
LEG_14_21 , AIR8 , 2000-01-14 , 20:50 , BASE2 , 2000-01-14 , 21:52
LEG_14_22 , BASE3 , 2000-01-14 , 11:00 , BASE1 , 2000-01-14 , 13:02
LEG_14_23 , BASE3 , 2000-01-14 , 02:05 , BASE1 , 2000-01-14 , 03:58
LEG_14_24 , AIR9 , 2000-01-14 , 19:35 , BASE1 , 2000-01-14 , 22:48
LEG_14_25 , BASE1 , 2000-01-14 , 23:43 , AIR10 , 2000-01-15 , 01:08
LEG_14_26 , BASE1 , 2000-01-14 , 19:38 , AIR11 , 2000-01-14 , 21:33
LEG_14_27 , BASE1 , 2000-01-14 , 23:36 , AIR12 , 2000-01-15 , 02:14
LEG_14_28 , AIR13 , 2000-01-14 , 19:10 , BASE1 , 2000-01-14 , 22:14
LEG_14_29 , BASE1 , 2000-01-14 , 14:30 , AIR13 , 2000-01-14 , 17:53
LEG_14_30 , AIR14 , 2000-01-14 , 10:15 , BASE1 , 2000-01-14 , 13:03
LEG_14_31 , BASE1 , 2000-01-14 , 12:10 , AIR11 , 2000-01-14 , 14:11
LEG_14_32 , AIR11 , 2000-01-14 , 15:10 , BASE1 , 2000-01-14 , 17:00
LEG_14_33 , AIR15 , 2000-01-14 , 12:50 , BASE1 , 2000-01-14 , 15:31
LEG_14_34 , BASE3 , 2000-01-14 , 13:58 , AIR9 , 2000-01-14 , 16:29
LEG_14_35 , BASE3 , 2000-01-14 , 02:10 , AIR15 , 2000-01-14 , 03:52
LEG_14_36 , AIR9 , 2000-01-14 , 21:55 , BASE3 , 2000-01-15 , 00:55
LEG_14_37 , AIR7 , 2000-01-14 , 15:30 , BASE3 , 2000-01-14 , 16:54
LEG_14_38 , BASE3 , 2000-01-14 , 17:45 , AIR9 , 2000-01-14 , 20:26
LEG_14_39 , AIR9 , 2000-01-14 , 18:29 , BASE3 , 2000-01-14 , 21:28
LEG_14_40 , BASE2 , 2000-01-14 , 13:03 , AIR1 , 2000-01-14 , 15:05
LEG_14_41 , AIR3 , 2000-01-14 , 10:00 , BASE2 , 2000-01-14 , 12:04
LEG_14_42 , AIR7 , 2000-01-14 , 14:10 , BASE2 , 2000-01-14 , 16:51
LEG_14_43 , BASE2 , 2000-01-14 , 17:38 , AIR3 , 2000-01-14 , 19:23
LEG_14_44 , BASE2 , 2000-01-14 , 12:58 , AIR7 , 2000-01-14 , 15:41
LEG_14_45 , AIR5 , 2000-01-14 , 10:05 , BASE2 , 2000-01-14 , 12:07
LEG_14_46 , AIR7 , 2000-01-14 , 17:30 , BASE2 , 2000-01-14 , 20:08
LEG_14_47 , BASE2 , 2000-01-14 , 21:13 , AIR3 , 2000-01-14 , 23:06
