#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_04_0 , AIR1 , 2000-01-04 , 12:00 , BASE1 , 2000-01-04 , 13:21
LEG_04_1 , BASE1 , 2000-01-04 , 14:13 , AIR2 , 2000-01-04 , 18:00
LEG_04_2 , AIR2 , 2000-01-04 , 22:35 , BASE1 , 2000-01-05 , 02:02
LEG_04_3 , BASE1 , 2000-01-04 , 03:01 , BASE3 , 2000-01-04 , 04:50
LEG_04_4 , BASE1 , 2000-01-04 , 23:38 , AIR3 , 2000-01-05 , 02:21
LEG_04_5 , AIR2 , 2000-01-04 , 19:05 , BASE1 , 2000-01-04 , 22:33
LEG_04_6 , BASE1 , 2000-01-04 , 16:32 , AIR2 , 2000-01-04 , 20:26
LEG_04_7 , AIR3 , 2000-01-04 , 12:15 , BASE1 , 2000-01-04 , 15:20
LEG_04_8 , BASE1 , 2000-01-04 , 01:00 , AIR28 , 2000-01-04 , 02:12
LEG_04_9 , AIR5 , 2000-01-04 , 20:15 , BASE2 , 2000-01-04 , 22:18
LEG_04_10 , BASE2 , 2000-01-04 , 23:09 , AIR4 , 2000-01-05 , 04:19
LEG_04_11 , BASE2 , 2000-01-04 , 21:31 , AIR6 , 2000-01-04 , 22:51
LEG_04_12 , AIR4 , 2000-01-04 , 15:35 , BASE2 , 2000-01-04 , 20:12
LEG_04_13 , BASE1 , 2000-01-04 , 00:12 , AIR1 , 2000-01-04 , 01:47
LEG_04_14 , BASE1 , 2000-01-04 , 12:10 , AIR7 , 2000-01-04 , 14:45
LEG_04_15 , AIR7 , 2000-01-04 , 18:15 , BASE1 , 2000-01-04 , 20:43
LEG_04_16 , BASE1 , 2000-01-04 , 22:20 , AIR7 , 2000-01-05 , 00:50
LEG_04_17 , AIR7 , 2000-01-04 , 21:55 , BASE1 , 2000-01-05 , 00:14
LEG_04_18 , BASE1 , 2000-01-04 , 18:41 , AIR7 , 2000-01-04 , 21:05
LEG_04_19 , AIR7 , 2000-01-04 , 11:10 , BASE1 , 2000-01-04 , 13:30
LEG_04_20 , BASE1 , 2000-01-04 , 14:29 , AIR7 , 2000-01-04 , 16:57
LEG_04_21 , BASE1 , 2000-01-04 , 23:57 , AIR7 , 2000-01-05 , 02:31
LEG_04_22 , AIR8 , 2000-01-04 , 20:50 , BASE2 , 2000-01-04 , 21:52
LEG_04_23 , BASE3 , 2000-01-04 , 11:00 , BASE1 , 2000-01-04 , 13:02
LEG_04_24 , BASE3 , 2000-01-04 , 02:05 , BASE1 , 2000-01-04 , 03:58
LEG_04_25 , AIR9 , 2000-01-04 , 19:35 , BASE1 , 2000-01-04 , 22:48
LEG_04_26 , BASE1 , 2000-01-04 , 23:43 , AIR10 , 2000-01-05 , 01:08
LEG_04_27 , BASE1 , 2000-01-04 , 19:38 , AIR11 , 2000-01-04 , 21:33
LEG_04_28 , BASE1 , 2000-01-04 , 23:36 , AIR12 , 2000-01-05 , 02:14
LEG_04_29 , AIR13 , 2000-01-04 , 19:10 , BASE1 , 2000-01-04 , 22:14
LEG_04_30 , BASE1 , 2000-01-04 , 14:30 , AIR13 , 2000-01-04 , 17:53
LEG_04_31 , AIR14 , 2000-01-04 , 10:15 , BASE1 , 2000-01-04 , 13:03
LEG_04_32 , AIR15 , 2000-01-04 , 12:50 , BASE1 , 2000-01-04 , 15:31
LEG_04_33 , BASE3 , 2000-01-04 , 13:58 , AIR9 , 2000-01-04 , 16:29
LEG_04_34 , BASE3 , 2000-01-04 , 02:10 , AIR15 , 2000-01-04 , 03:52
LEG_04_35 , AIR9 , 2000-01-04 , 21:55 , BASE3 , 2000-01-05 , 00:55
LEG_04_36 , AIR7 , 2000-01-04 , 15:30 , BASE3 , 2000-01-04 , 16:54
LEG_04_37 , BASE3 , 2000-01-04 , 17:45 , AIR9 , 2000-01-04 , 20:26
LEG_04_38 , AIR9 , 2000-01-04 , 18:29 , BASE3 , 2000-01-04 , 21:28
LEG_04_39 , BASE2 , 2000-01-04 , 13:03 , AIR1 , 2000-01-04 , 15:05
LEG_04_40 , AIR3 , 2000-01-04 , 10:00 , BASE2 , 2000-01-04 , 12:04
LEG_04_41 , AIR7 , 2000-01-04 , 14:10 , BASE2 , 2000-01-04 , 16:51
LEG_04_42 , BASE2 , 2000-01-04 , 17:38 , AIR3 , 2000-01-04 , 19:23
LEG_04_43 , BASE2 , 2000-01-04 , 12:58 , AIR7 , 2000-01-04 , 15:41
LEG_04_44 , AIR5 , 2000-01-04 , 10:05 , BASE2 , 2000-01-04 , 12:07
LEG_04_45 , AIR7 , 2000-01-04 , 17:30 , BASE2 , 2000-01-04 , 20:08
LEG_04_46 , BASE2 , 2000-01-04 , 21:13 , AIR3 , 2000-01-04 , 23:06
LEG_04_47 , AIR16 , 2000-01-04 , 13:00 , BASE2 , 2000-01-04 , 14:43
LEG_04_48 , BASE2 , 2000-01-04 , 16:27 , AIR7 , 2000-01-04 , 19:22
LEG_04_49 , AIR7 , 2000-01-04 , 23:20 , BASE2 , 2000-01-05 , 01:55
LEG_04_50 , AIR3 , 2000-01-04 , 20:10 , BASE2 , 2000-01-04 , 22:17
LEG_04_51 , BASE2 , 2000-01-04 , 23:05 , AIR7 , 2000-01-05 , 02:01
LEG_04_52 , BASE2 , 2000-01-04 , 00:52 , AIR5 , 2000-01-04 , 02:33
LEG_04_53 , AIR7 , 2000-01-04 , 21:00 , BASE2 , 2000-01-04 , 23:43
LEG_04_54 , BASE2 , 2000-01-04 , 19:43 , AIR7 , 2000-01-04 , 22:29
LEG_04_55 , AIR17 , 2000-01-04 , 17:46 , BASE2 , 2000-01-04 , 18:37
LEG_04_56 , BASE3 , 2000-01-04 , 22:10 , AIR11 , 2000-01-05 , 00:35
