#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_17_0 , AIR1 , 2000-01-17 , 12:00 , BASE1 , 2000-01-17 , 13:21
LEG_17_1 , BASE1 , 2000-01-17 , 14:13 , AIR2 , 2000-01-17 , 18:00
LEG_17_2 , AIR2 , 2000-01-17 , 22:35 , BASE1 , 2000-01-18 , 02:02
LEG_17_3 , BASE1 , 2000-01-17 , 03:01 , BASE3 , 2000-01-17 , 04:50
LEG_17_4 , BASE1 , 2000-01-17 , 23:38 , AIR3 , 2000-01-18 , 02:21
LEG_17_5 , AIR2 , 2000-01-17 , 19:05 , BASE1 , 2000-01-17 , 22:33
LEG_17_6 , BASE1 , 2000-01-17 , 16:32 , AIR2 , 2000-01-17 , 20:26
LEG_17_7 , AIR3 , 2000-01-17 , 12:15 , BASE1 , 2000-01-17 , 15:20
LEG_17_8 , BASE1 , 2000-01-17 , 01:00 , AIR28 , 2000-01-17 , 02:12
LEG_17_9 , AIR5 , 2000-01-17 , 20:15 , BASE2 , 2000-01-17 , 22:18
LEG_17_10 , BASE2 , 2000-01-17 , 23:09 , AIR4 , 2000-01-18 , 04:19
LEG_17_11 , BASE2 , 2000-01-17 , 21:31 , AIR6 , 2000-01-17 , 22:51
LEG_17_12 , AIR4 , 2000-01-17 , 15:35 , BASE2 , 2000-01-17 , 20:12
LEG_17_13 , BASE1 , 2000-01-17 , 00:12 , AIR1 , 2000-01-17 , 01:47
LEG_17_14 , AIR20 , 2000-01-17 , 20:10 , BASE1 , 2000-01-17 , 22:53
LEG_17_15 , BASE1 , 2000-01-17 , 12:10 , AIR7 , 2000-01-17 , 14:45
LEG_17_16 , AIR7 , 2000-01-17 , 18:15 , BASE1 , 2000-01-17 , 20:43
LEG_17_17 , BASE1 , 2000-01-17 , 22:20 , AIR7 , 2000-01-18 , 00:50
LEG_17_18 , AIR7 , 2000-01-17 , 21:55 , BASE1 , 2000-01-18 , 00:14
LEG_17_19 , BASE1 , 2000-01-17 , 18:41 , AIR7 , 2000-01-17 , 21:05
LEG_17_20 , AIR7 , 2000-01-17 , 11:10 , BASE1 , 2000-01-17 , 13:30
LEG_17_21 , BASE1 , 2000-01-17 , 14:29 , AIR7 , 2000-01-17 , 16:57
LEG_17_22 , BASE1 , 2000-01-17 , 23:57 , AIR7 , 2000-01-18 , 02:31
LEG_17_23 , AIR8 , 2000-01-17 , 20:50 , BASE2 , 2000-01-17 , 21:52
LEG_17_24 , BASE3 , 2000-01-17 , 11:00 , BASE1 , 2000-01-17 , 13:02
LEG_17_25 , BASE3 , 2000-01-17 , 02:05 , BASE1 , 2000-01-17 , 03:58
LEG_17_26 , AIR9 , 2000-01-17 , 19:35 , BASE1 , 2000-01-17 , 22:48
LEG_17_27 , BASE1 , 2000-01-17 , 23:43 , AIR10 , 2000-01-18 , 01:08
LEG_17_28 , BASE1 , 2000-01-17 , 19:38 , AIR11 , 2000-01-17 , 21:33
LEG_17_29 , BASE1 , 2000-01-17 , 23:36 , AIR12 , 2000-01-18 , 02:14
LEG_17_30 , AIR13 , 2000-01-17 , 19:10 , BASE1 , 2000-01-17 , 22:14
LEG_17_31 , BASE1 , 2000-01-17 , 14:30 , AIR13 , 2000-01-17 , 17:53
LEG_17_32 , AIR14 , 2000-01-17 , 10:15 , BASE1 , 2000-01-17 , 13:03
LEG_17_33 , BASE1 , 2000-01-17 , 02:21 , AIR11 , 2000-01-17 , 04:16
LEG_17_34 , AIR15 , 2000-01-17 , 12:50 , BASE1 , 2000-01-17 , 15:31
LEG_17_35 , BASE3 , 2000-01-17 , 13:58 , AIR9 , 2000-01-17 , 16:29
LEG_17_36 , BASE3 , 2000-01-17 , 02:10 , AIR15 , 2000-01-17 , 03:52
LEG_17_37 , AIR9 , 2000-01-17 , 21:55 , BASE3 , 2000-01-18 , 00:55
LEG_17_38 , AIR7 , 2000-01-17 , 15:30 , BASE3 , 2000-01-17 , 16:54
