#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_12_0 , AIR1 , 2000-01-12 , 12:00 , BASE1 , 2000-01-12 , 13:21
LEG_12_1 , BASE1 , 2000-01-12 , 14:13 , AIR2 , 2000-01-12 , 18:00
LEG_12_2 , AIR2 , 2000-01-12 , 22:35 , BASE1 , 2000-01-13 , 02:02
LEG_12_3 , BASE1 , 2000-01-12 , 23:38 , AIR3 , 2000-01-13 , 02:21
LEG_12_4 , AIR2 , 2000-01-12 , 19:05 , BASE1 , 2000-01-12 , 22:33
LEG_12_5 , BASE1 , 2000-01-12 , 16:32 , AIR2 , 2000-01-12 , 20:26
LEG_12_6 , AIR3 , 2000-01-12 , 12:15 , BASE1 , 2000-01-12 , 15:20
LEG_12_7 , BASE1 , 2000-01-12 , 13:00 , AIR28 , 2000-01-12 , 14:15
LEG_12_8 , BASE1 , 2000-01-12 , 01:00 , AIR28 , 2000-01-12 , 02:12
LEG_12_9 , AIR5 , 2000-01-12 , 20:15 , BASE2 , 2000-01-12 , 22:18
LEG_12_10 , BASE2 , 2000-01-12 , 23:09 , AIR4 , 2000-01-13 , 04:19
LEG_12_11 , BASE2 , 2000-01-12 , 21:31 , AIR6 , 2000-01-12 , 22:51
LEG_12_12 , AIR4 , 2000-01-12 , 15:35 , BASE2 , 2000-01-12 , 20:12
LEG_12_13 , BASE2 , 2000-01-12 , 16:17 , AIR4 , 2000-01-12 , 21:22
LEG_12_14 , BASE1 , 2000-01-12 , 00:12 , AIR1 , 2000-01-12 , 01:47
LEG_12_15 , AIR5 , 2000-01-12 , 16:00 , BASE2 , 2000-01-12 , 17:57
LEG_12_16 , BASE1 , 2000-01-12 , 23:53 , AIR17 , 2000-01-13 , 01:14
LEG_12_17 , BASE1 , 2000-01-12 , 12:10 , AIR7 , 2000-01-12 , 14:45
LEG_12_18 , AIR7 , 2000-01-12 , 21:55 , BASE1 , 2000-01-13 , 00:14
LEG_12_19 , BASE1 , 2000-01-12 , 18:41 , AIR7 , 2000-01-12 , 21:05
LEG_12_20 , AIR7 , 2000-01-12 , 11:10 , BASE1 , 2000-01-12 , 13:30
LEG_12_21 , AIR8 , 2000-01-12 , 20:50 , BASE2 , 2000-01-12 , 21:52
LEG_12_22 , BASE3 , 2000-01-12 , 02:05 , BASE1 , 2000-01-12 , 03:58
LEG_12_23 , BASE1 , 2000-01-12 , 19:38 , AIR11 , 2000-01-12 , 21:33
LEG_12_24 , BASE1 , 2000-01-12 , 23:36 , AIR12 , 2000-01-13 , 02:14
LEG_12_25 , AIR13 , 2000-01-12 , 19:10 , BASE1 , 2000-01-12 , 22:14
LEG_12_26 , BASE1 , 2000-01-12 , 14:30 , AIR13 , 2000-01-12 , 17:53
LEG_12_27 , AIR14 , 2000-01-12 , 10:15 , BASE1 , 2000-01-12 , 13:03
LEG_12_28 , AIR11 , 2000-01-12 , 20:25 , BASE1 , 2000-01-12 , 22:18
LEG_12_29 , AIR15 , 2000-01-12 , 12:50 , BASE1 , 2000-01-12 , 15:31
LEG_12_30 , BASE3 , 2000-01-12 , 13:58 , AIR9 , 2000-01-12 , 16:29
LEG_12_31 , BASE3 , 2000-01-12 , 02:10 , AIR15 , 2000-01-12 , 03:52
LEG_12_32 , AIR9 , 2000-01-12 , 21:55 , BASE3 , 2000-01-13 , 00:55
LEG_12_33 , AIR7 , 2000-01-12 , 15:30 , BASE3 , 2000-01-12 , 16:54
LEG_12_34 , BASE3 , 2000-01-12 , 17:45 , AIR9 , 2000-01-12 , 20:26
LEG_12_35 , AIR9 , 2000-01-12 , 18:29 , BASE3 , 2000-01-12 , 21:28
LEG_12_36 , AIR3 , 2000-01-12 , 10:00 , BASE2 , 2000-01-12 , 12:04
LEG_12_37 , BASE2 , 2000-01-12 , 21:23 , AIR1 , 2000-01-12 , 23:17
LEG_12_38 , BASE1 , 2000-01-12 , 23:00 , AIR28 , 2000-01-13 , 00:20
LEG_12_39 , AIR7 , 2000-01-12 , 14:10 , BASE2 , 2000-01-12 , 16:51
LEG_12_40 , BASE2 , 2000-01-12 , 17:38 , AIR3 , 2000-01-12 , 19:23
LEG_12_41 , BASE2 , 2000-01-12 , 12:58 , AIR7 , 2000-01-12 , 15:41
LEG_12_42 , AIR5 , 2000-01-12 , 10:05 , BASE2 , 2000-01-12 , 12:07
LEG_12_43 , AIR7 , 2000-01-12 , 17:30 , BASE2 , 2000-01-12 , 20:08
LEG_12_44 , AIR16 , 2000-01-12 , 13:00 , BASE2 , 2000-01-12 , 14:43
LEG_12_45 , BASE2 , 2000-01-12 , 16:27 , AIR7 , 2000-01-12 , 19:22
LEG_12_46 , AIR3 , 2000-01-12 , 20:10 , BASE2 , 2000-01-12 , 22:17
LEG_12_47 , BASE2 , 2000-01-12 , 00:52 , AIR5 , 2000-01-12 , 02:33
LEG_12_48 , AIR7 , 2000-01-12 , 21:00 , BASE2 , 2000-01-12 , 23:43
LEG_12_49 , BASE2 , 2000-01-12 , 19:43 , AIR7 , 2000-01-12 , 22:29
LEG_12_50 , BASE2 , 2000-01-12 , 21:20 , AIR7 , 2000-01-13 , 00:10
LEG_12_51 , BASE2 , 2000-01-12 , 19:22 , BASE1 , 2000-01-12 , 21:14
LEG_12_52 , BASE3 , 2000-01-12 , 22:10 , AIR11 , 2000-01-13 , 00:35
LEG_12_53 , AIR18 , 2000-01-12 , 19:45 , BASE3 , 2000-01-12 , 21:17
LEG_12_54 , AIR11 , 2000-01-12 , 22:55 , BASE3 , 2000-01-13 , 01:05
LEG_12_55 , AIR11 , 2000-01-12 , 14:45 , BASE3 , 2000-01-12 , 16:53
LEG_12_56 , AIR18 , 2000-01-12 , 11:30 , BASE3 , 2000-01-12 , 13:00
LEG_12_57 , BASE3 , 2000-01-12 , 13:55 , AIR11 , 2000-01-12 , 16:18
LEG_12_58 , BASE3 , 2000-01-12 , 18:00 , AIR18 , 2000-01-12 , 19:37
LEG_12_59 , AIR18 , 2000-01-12 , 15:35 , BASE3 , 2000-01-12 , 17:02
LEG_12_60 , BASE3 , 2000-01-12 , 17:55 , AIR19 , 2000-01-12 , 20:45
LEG_12_61 , AIR19 , 2000-01-12 , 21:40 , BASE3 , 2000-01-13 , 00:53
LEG_12_62 , BASE3 , 2000-01-12 , 02:05 , AIR18 , 2000-01-12 , 03:32
LEG_12_63 , AIR28 , 2000-01-12 , 15:15 , BASE3 , 2000-01-12 , 16:54
LEG_12_64 , BASE3 , 2000-01-12 , 02:35 , AIR36 , 2000-01-12 , 03:53
LEG_12_65 , BASE3 , 2000-01-12 , 13:45 , AIR20 , 2000-01-12 , 15:42
LEG_12_66 , AIR20 , 2000-01-12 , 10:20 , BASE3 , 2000-01-12 , 12:34
LEG_12_67 , AIR20 , 2000-01-12 , 18:55 , BASE3 , 2000-01-12 , 21:11
LEG_12_68 , BASE3 , 2000-01-12 , 22:00 , AIR20 , 2000-01-13 , 00:02
