#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_07_0 , AIR1 , 2000-01-07 , 12:00 , BASE1 , 2000-01-07 , 13:21
LEG_07_1 , BASE1 , 2000-01-07 , 14:13 , AIR2 , 2000-01-07 , 18:00
LEG_07_2 , AIR2 , 2000-01-07 , 22:35 , BASE1 , 2000-01-08 , 02:02
LEG_07_3 , BASE1 , 2000-01-07 , 03:01 , BASE3 , 2000-01-07 , 04:50
LEG_07_4 , BASE1 , 2000-01-07 , 23:38 , AIR3 , 2000-01-08 , 02:21
LEG_07_5 , AIR2 , 2000-01-07 , 19:05 , BASE1 , 2000-01-07 , 22:33
LEG_07_6 , BASE1 , 2000-01-07 , 16:32 , AIR2 , 2000-01-07 , 20:26
LEG_07_7 , AIR3 , 2000-01-07 , 12:15 , BASE1 , 2000-01-07 , 15:20
LEG_07_8 , BASE1 , 2000-01-07 , 01:00 , AIR28 , 2000-01-07 , 02:12
LEG_07_9 , AIR5 , 2000-01-07 , 20:15 , BASE2 , 2000-01-07 , 22:18
LEG_07_10 , BASE2 , 2000-01-07 , 23:09 , AIR4 , 2000-01-08 , 04:19
LEG_07_11 , BASE2 , 2000-01-07 , 21:31 , AIR6 , 2000-01-07 , 22:51
LEG_07_12 , AIR4 , 2000-01-07 , 15:35 , BASE2 , 2000-01-07 , 20:12
LEG_07_13 , BASE1 , 2000-01-07 , 00:12 , AIR1 , 2000-01-07 , 01:47
LEG_07_14 , BASE1 , 2000-01-07 , 12:10 , AIR7 , 2000-01-07 , 14:45
LEG_07_15 , AIR7 , 2000-01-07 , 18:15 , BASE1 , 2000-01-07 , 20:43
LEG_07_16 , BASE1 , 2000-01-07 , 22:20 , AIR7 , 2000-01-08 , 00:50
LEG_07_17 , AIR7 , 2000-01-07 , 21:55 , BASE1 , 2000-01-08 , 00:14
LEG_07_18 , BASE1 , 2000-01-07 , 18:41 , AIR7 , 2000-01-07 , 21:05
LEG_07_19 , AIR7 , 2000-01-07 , 11:10 , BASE1 , 2000-01-07 , 13:30
LEG_07_20 , BASE1 , 2000-01-07 , 14:29 , AIR7 , 2000-01-07 , 16:57
LEG_07_21 , BASE1 , 2000-01-07 , 23:57 , AIR7 , 2000-01-08 , 02:31
LEG_07_22 , AIR8 , 2000-01-07 , 20:50 , BASE2 , 2000-01-07 , 21:52
LEG_07_23 , BASE3 , 2000-01-07 , 11:00 , BASE1 , 2000-01-07 , 13:02
LEG_07_24 , BASE3 , 2000-01-07 , 02:05 , BASE1 , 2000-01-07 , 03:58
LEG_07_25 , AIR9 , 2000-01-07 , 19:35 , BASE1 , 2000-01-07 , 22:48
LEG_07_26 , BASE1 , 2000-01-07 , 23:43 , AIR10 , 2000-01-08 , 01:08
LEG_07_27 , BASE1 , 2000-01-07 , 19:38 , AIR11 , 2000-01-07 , 21:33
LEG_07_28 , BASE1 , 2000-01-07 , 23:36 , AIR12 , 2000-01-08 , 02:14
LEG_07_29 , AIR13 , 2000-01-07 , 19:10 , BASE1 , 2000-01-07 , 22:14
LEG_07_30 , BASE1 , 2000-01-07 , 14:30 , AIR13 , 2000-01-07 , 17:53
LEG_07_31 , AIR14 , 2000-01-07 , 10:15 , BASE1 , 2000-01-07 , 13:03
LEG_07_32 , AIR15 , 2000-01-07 , 12:50 , BASE1 , 2000-01-07 , 15:31
LEG_07_33 , BASE3 , 2000-01-07 , 13:58 , AIR9 , 2000-01-07 , 16:29
LEG_07_34 , BASE3 , 2000-01-07 , 02:10 , AIR15 , 2000-01-07 , 03:52
LEG_07_35 , AIR9 , 2000-01-07 , 21:55 , BASE3 , 2000-01-08 , 00:55
LEG_07_36 , AIR7 , 2000-01-07 , 15:30 , BASE3 , 2000-01-07 , 16:54
LEG_07_37 , BASE3 , 2000-01-07 , 17:45 , AIR9 , 2000-01-07 , 20:26
LEG_07_38 , AIR9 , 2000-01-07 , 18:29 , BASE3 , 2000-01-07 , 21:28
