"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 40    , 21    , 15   
Day2  , 40    , 21    , 15   
Day3  , 40    , 21    , 15   
Day4  , 40    , 21    , 15   
Day5  , 40    , 21    , 15   
Day6  , 40    , 21    , 15   
Day7  , 40    , 21    , 15   
Day8  , 40    , 21    , 15   
Day9  , 40    , 21    , 15   
Day10 , 40    , 21    , 15   
Day11 , 40    , 21    , 15   
Day12 , 40    , 21    , 15   
Day13 , 40    , 21    , 15   
Day14 , 40    , 21    , 15   
Day15 , 40    , 21    , 15   
Day16 , 40    , 21    , 15   
Day17 , 40    , 21    , 15   
Day18 , 40    , 21    , 15   
Day19 , 40    , 21    , 15   
Day20 , 40    , 21    , 15   
Day21 , 40    , 21    , 15   
Day22 , 40    , 21    , 15   
Day23 , 40    , 21    , 15   
Day24 , 40    , 21    , 15   
Day25 , 40    , 21    , 15   
Day26 , 40    , 21    , 15   
Day27 , 40    , 21    , 15   
Day28 , 40    , 21    , 15   
Day29 , 40    , 21    , 15   
Day30 , 40    , 21    , 15   
Day31 , 40    , 21    , 15   
