"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 30    , 16    , 10   
Day2  , 45    , 22    , 11   
Day3  , 40    , 21    , 14   
Day4  , 40    , 21    , 13   
Day5  , 42    , 20    , 13   
Day6  , 36    , 21    , 13   
Day7  , 38    , 22    , 14   
Day8  , 41    , 22    , 14   
Day9  , 38    , 21    , 15   
Day10 , 39    , 22    , 14   
Day11 , 44    , 22    , 14   
Day12 , 38    , 20    , 15   
Day13 , 39    , 20    , 14   
Day14 , 41    , 21    , 15   
Day15 , 38    , 19    , 16   
Day16 , 40    , 18    , 15   
Day17 , 44    , 20    , 16   
Day18 , 40    , 19    , 17   
Day19 , 36    , 16    , 16   
Day20 , 43    , 19    , 16   
Day21 , 37    , 20    , 16   
Day22 , 38    , 20    , 16   
Day23 , 45    , 21    , 16   
Day24 , 40    , 20    , 16   
Day25 , 39    , 21    , 17   
Day26 , 39    , 18    , 16   
Day27 , 38    , 18    , 17   
Day28 , 42    , 21    , 20   
Day29 , 44    , 24    , 20   
Day30 , 44    , 26    , 18   
Day31 , 36    , 26    , 13   
