#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_05_0 , AIR1 , 2000-01-05 , 12:00 , BASE1 , 2000-01-05 , 13:21
LEG_05_1 , BASE1 , 2000-01-05 , 14:13 , AIR2 , 2000-01-05 , 18:00
LEG_05_2 , AIR2 , 2000-01-05 , 22:35 , BASE1 , 2000-01-06 , 02:02
LEG_05_3 , BASE1 , 2000-01-05 , 23:38 , AIR3 , 2000-01-06 , 02:21
LEG_05_4 , AIR2 , 2000-01-05 , 19:05 , BASE1 , 2000-01-05 , 22:33
LEG_05_5 , BASE1 , 2000-01-05 , 16:32 , AIR2 , 2000-01-05 , 20:26
LEG_05_6 , AIR3 , 2000-01-05 , 12:15 , BASE1 , 2000-01-05 , 15:20
LEG_05_7 , BASE1 , 2000-01-05 , 13:00 , AIR28 , 2000-01-05 , 14:15
LEG_05_8 , BASE1 , 2000-01-05 , 01:00 , AIR28 , 2000-01-05 , 02:12
LEG_05_9 , AIR5 , 2000-01-05 , 20:15 , BASE2 , 2000-01-05 , 22:18
LEG_05_10 , BASE2 , 2000-01-05 , 23:09 , AIR4 , 2000-01-06 , 04:19
LEG_05_11 , BASE2 , 2000-01-05 , 21:31 , AIR6 , 2000-01-05 , 22:51
LEG_05_12 , AIR4 , 2000-01-05 , 15:35 , BASE2 , 2000-01-05 , 20:12
LEG_05_13 , BASE2 , 2000-01-05 , 16:17 , AIR4 , 2000-01-05 , 21:22
LEG_05_14 , BASE1 , 2000-01-05 , 00:12 , AIR1 , 2000-01-05 , 01:47
LEG_05_15 , BASE2 , 2000-01-05 , 19:24 , AIR17 , 2000-01-05 , 20:15
LEG_05_16 , BASE1 , 2000-01-05 , 23:53 , AIR17 , 2000-01-06 , 01:14
LEG_05_17 , BASE1 , 2000-01-05 , 12:10 , AIR7 , 2000-01-05 , 14:45
LEG_05_18 , AIR7 , 2000-01-05 , 21:55 , BASE1 , 2000-01-06 , 00:14
LEG_05_19 , BASE1 , 2000-01-05 , 18:41 , AIR7 , 2000-01-05 , 21:05
LEG_05_20 , AIR7 , 2000-01-05 , 11:10 , BASE1 , 2000-01-05 , 13:30
LEG_05_21 , AIR8 , 2000-01-05 , 20:50 , BASE2 , 2000-01-05 , 21:52
LEG_05_22 , BASE3 , 2000-01-05 , 02:05 , BASE1 , 2000-01-05 , 03:58
LEG_05_23 , BASE1 , 2000-01-05 , 19:38 , AIR11 , 2000-01-05 , 21:33
LEG_05_24 , BASE1 , 2000-01-05 , 23:36 , AIR12 , 2000-01-06 , 02:14
LEG_05_25 , AIR13 , 2000-01-05 , 19:10 , BASE1 , 2000-01-05 , 22:14
LEG_05_26 , BASE1 , 2000-01-05 , 14:30 , AIR13 , 2000-01-05 , 17:53
LEG_05_27 , AIR14 , 2000-01-05 , 10:15 , BASE1 , 2000-01-05 , 13:03
LEG_05_28 , AIR11 , 2000-01-05 , 20:25 , BASE1 , 2000-01-05 , 22:18
LEG_05_29 , AIR15 , 2000-01-05 , 12:50 , BASE1 , 2000-01-05 , 15:31
LEG_05_30 , BASE3 , 2000-01-05 , 13:58 , AIR9 , 2000-01-05 , 16:29
LEG_05_31 , BASE3 , 2000-01-05 , 02:10 , AIR15 , 2000-01-05 , 03:52
LEG_05_32 , AIR9 , 2000-01-05 , 21:55 , BASE3 , 2000-01-06 , 00:55
LEG_05_33 , AIR7 , 2000-01-05 , 15:30 , BASE3 , 2000-01-05 , 16:54
LEG_05_34 , BASE3 , 2000-01-05 , 17:45 , AIR9 , 2000-01-05 , 20:26
LEG_05_35 , AIR9 , 2000-01-05 , 18:29 , BASE3 , 2000-01-05 , 21:28
LEG_05_36 , AIR3 , 2000-01-05 , 10:00 , BASE2 , 2000-01-05 , 12:04
LEG_05_37 , BASE2 , 2000-01-05 , 21:23 , AIR1 , 2000-01-05 , 23:17
LEG_05_38 , BASE1 , 2000-01-05 , 23:00 , AIR28 , 2000-01-06 , 00:20
LEG_05_39 , AIR7 , 2000-01-05 , 14:10 , BASE2 , 2000-01-05 , 16:51
LEG_05_40 , BASE2 , 2000-01-05 , 17:38 , AIR3 , 2000-01-05 , 19:23
LEG_05_41 , BASE2 , 2000-01-05 , 12:58 , AIR7 , 2000-01-05 , 15:41
LEG_05_42 , AIR5 , 2000-01-05 , 10:05 , BASE2 , 2000-01-05 , 12:07
LEG_05_43 , AIR7 , 2000-01-05 , 17:30 , BASE2 , 2000-01-05 , 20:08
LEG_05_44 , BASE2 , 2000-01-05 , 21:13 , AIR3 , 2000-01-05 , 23:06
LEG_05_45 , AIR16 , 2000-01-05 , 13:00 , BASE2 , 2000-01-05 , 14:43
LEG_05_46 , BASE2 , 2000-01-05 , 16:27 , AIR7 , 2000-01-05 , 19:22
LEG_05_47 , AIR3 , 2000-01-05 , 20:10 , BASE2 , 2000-01-05 , 22:17
LEG_05_48 , BASE2 , 2000-01-05 , 00:52 , AIR5 , 2000-01-05 , 02:33
LEG_05_49 , AIR7 , 2000-01-05 , 21:00 , BASE2 , 2000-01-05 , 23:43
LEG_05_50 , BASE2 , 2000-01-05 , 19:43 , AIR7 , 2000-01-05 , 22:29
LEG_05_51 , BASE2 , 2000-01-05 , 21:20 , AIR7 , 2000-01-06 , 00:10
LEG_05_52 , BASE2 , 2000-01-05 , 19:22 , BASE1 , 2000-01-05 , 21:14
LEG_05_53 , BASE3 , 2000-01-05 , 22:10 , AIR11 , 2000-01-06 , 00:35
LEG_05_54 , AIR18 , 2000-01-05 , 19:45 , BASE3 , 2000-01-05 , 21:17
LEG_05_55 , AIR11 , 2000-01-05 , 22:55 , BASE3 , 2000-01-06 , 01:05
LEG_05_56 , AIR11 , 2000-01-05 , 14:45 , BASE3 , 2000-01-05 , 16:53
LEG_05_57 , AIR18 , 2000-01-05 , 11:30 , BASE3 , 2000-01-05 , 13:00
LEG_05_58 , BASE3 , 2000-01-05 , 13:55 , AIR11 , 2000-01-05 , 16:18
LEG_05_59 , BASE3 , 2000-01-05 , 18:00 , AIR18 , 2000-01-05 , 19:37
LEG_05_60 , AIR18 , 2000-01-05 , 15:35 , BASE3 , 2000-01-05 , 17:02
LEG_05_61 , BASE3 , 2000-01-05 , 17:55 , AIR19 , 2000-01-05 , 20:45
LEG_05_62 , AIR19 , 2000-01-05 , 21:40 , BASE3 , 2000-01-06 , 00:53
LEG_05_63 , BASE3 , 2000-01-05 , 02:05 , AIR18 , 2000-01-05 , 03:32
LEG_05_64 , AIR28 , 2000-01-05 , 15:15 , BASE3 , 2000-01-05 , 16:54
LEG_05_65 , BASE3 , 2000-01-05 , 02:35 , AIR36 , 2000-01-05 , 03:53
LEG_05_66 , BASE3 , 2000-01-05 , 13:45 , AIR20 , 2000-01-05 , 15:42
LEG_05_67 , AIR20 , 2000-01-05 , 10:20 , BASE3 , 2000-01-05 , 12:34
LEG_05_68 , AIR20 , 2000-01-05 , 18:55 , BASE3 , 2000-01-05 , 21:11
LEG_05_69 , BASE3 , 2000-01-05 , 22:00 , AIR20 , 2000-01-06 , 00:02
LEG_05_70 , BASE3 , 2000-01-05 , 18:10 , AIR8 , 2000-01-05 , 19:48
LEG_05_71 , BASE1 , 2000-01-05 , 12:19 , AIR12 , 2000-01-05 , 14:49
LEG_05_72 , BASE1 , 2000-01-05 , 18:21 , AIR12 , 2000-01-05 , 20:53
LEG_05_73 , AIR21 , 2000-01-05 , 21:35 , BASE1 , 2000-01-06 , 00:24
LEG_05_74 , AIR23 , 2000-01-05 , 11:45 , BASE2 , 2000-01-05 , 14:43
LEG_05_75 , BASE2 , 2000-01-05 , 15:57 , AIR22 , 2000-01-05 , 16:55
LEG_05_76 , BASE2 , 2000-01-05 , 00:55 , AIR23 , 2000-01-05 , 03:49
LEG_05_77 , AIR12 , 2000-01-05 , 12:05 , BASE1 , 2000-01-05 , 15:03
LEG_05_78 , BASE1 , 2000-01-05 , 16:18 , AIR24 , 2000-01-05 , 19:10
LEG_05_79 , AIR24 , 2000-01-05 , 20:10 , BASE1 , 2000-01-05 , 22:47
LEG_05_80 , BASE1 , 2000-01-05 , 00:14 , AIR26 , 2000-01-05 , 01:19
LEG_05_81 , AIR18 , 2000-01-05 , 18:05 , BASE1 , 2000-01-05 , 20:42
LEG_05_82 , BASE1 , 2000-01-05 , 22:07 , AIR24 , 2000-01-06 , 00:59
LEG_05_83 , BASE1 , 2000-01-05 , 18:09 , AIR15 , 2000-01-05 , 20:59
LEG_05_84 , AIR24 , 2000-01-05 , 14:10 , BASE1 , 2000-01-05 , 16:48
LEG_05_85 , BASE1 , 2000-01-05 , 02:01 , AIR24 , 2000-01-05 , 04:55
LEG_05_86 , AIR3 , 2000-01-05 , 21:40 , BASE1 , 2000-01-06 , 00:45
LEG_05_87 , BASE1 , 2000-01-05 , 20:30 , AIR7 , 2000-01-05 , 23:01
LEG_05_88 , AIR24 , 2000-01-05 , 16:40 , BASE1 , 2000-01-05 , 19:19
LEG_05_89 , AIR26 , 2000-01-05 , 11:40 , BASE1 , 2000-01-05 , 12:43
LEG_05_90 , BASE1 , 2000-01-05 , 18:06 , AIR26 , 2000-01-05 , 18:58
LEG_05_91 , AIR25 , 2000-01-05 , 13:50 , BASE1 , 2000-01-05 , 17:18
LEG_05_92 , BASE1 , 2000-01-05 , 22:15 , AIR25 , 2000-01-06 , 01:53
LEG_05_93 , AIR36 , 2000-01-05 , 13:10 , BASE1 , 2000-01-05 , 14:58
LEG_05_94 , BASE1 , 2000-01-05 , 15:17 , AIR40 , 2000-01-05 , 17:38
LEG_05_95 , AIR30 , 2000-01-05 , 11:45 , BASE1 , 2000-01-05 , 12:38
LEG_05_96 , AIR40 , 2000-01-05 , 18:39 , BASE1 , 2000-01-05 , 21:14
LEG_05_97 , BASE3 , 2000-01-05 , 13:45 , AIR18 , 2000-01-05 , 15:21
LEG_05_98 , BASE2 , 2000-01-05 , 23:24 , AIR17 , 2000-01-06 , 00:16
LEG_05_99 , BASE2 , 2000-01-05 , 10:51 , AIR40 , 2000-01-05 , 12:27
LEG_05_100 , AIR15 , 2000-01-05 , 11:05 , BASE3 , 2000-01-05 , 12:50
LEG_05_101 , AIR28 , 2000-01-05 , 12:10 , BASE2 , 2000-01-05 , 13:24
LEG_05_102 , BASE2 , 2000-01-05 , 14:37 , AIR12 , 2000-01-05 , 16:20
LEG_05_103 , AIR12 , 2000-01-05 , 16:00 , BASE2 , 2000-01-05 , 18:01
LEG_05_104 , AIR9 , 2000-01-05 , 20:10 , BASE2 , 2000-01-05 , 22:17
LEG_05_105 , AIR17 , 2000-01-05 , 21:00 , BASE2 , 2000-01-05 , 21:51
LEG_05_106 , AIR11 , 2000-01-05 , 17:15 , BASE2 , 2000-01-05 , 20:03
LEG_05_107 , AIR22 , 2000-01-05 , 17:35 , BASE2 , 2000-01-05 , 18:32
LEG_05_108 , AIR40 , 2000-01-05 , 13:25 , BASE2 , 2000-01-05 , 15:00
LEG_05_109 , BASE2 , 2000-01-05 , 16:12 , AIR11 , 2000-01-05 , 19:23
LEG_05_110 , AIR29 , 2000-01-05 , 20:05 , BASE1 , 2000-01-05 , 22:18
LEG_05_111 , BASE1 , 2000-01-05 , 23:45 , AIR30 , 2000-01-06 , 00:44
LEG_05_112 , AIR18 , 2000-01-05 , 13:00 , BASE1 , 2000-01-05 , 15:42
LEG_05_113 , BASE1 , 2000-01-05 , 16:36 , AIR29 , 2000-01-05 , 19:03
LEG_05_114 , AIR29 , 2000-01-05 , 14:40 , BASE1 , 2000-01-05 , 16:55
LEG_05_115 , BASE1 , 2000-01-05 , 18:10 , AIR21 , 2000-01-05 , 20:36
LEG_05_116 , BASE1 , 2000-01-05 , 02:15 , AIR29 , 2000-01-05 , 04:48
LEG_05_117 , AIR18 , 2000-01-05 , 22:35 , BASE1 , 2000-01-06 , 01:12
LEG_05_118 , AIR31 , 2000-01-05 , 14:05 , BASE1 , 2000-01-05 , 16:48
LEG_05_119 , BASE1 , 2000-01-05 , 18:03 , AIR3 , 2000-01-05 , 20:40
LEG_05_120 , BASE1 , 2000-01-05 , 16:23 , AIR31 , 2000-01-05 , 19:20
LEG_05_121 , AIR21 , 2000-01-05 , 12:10 , BASE1 , 2000-01-05 , 14:53
