#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_27_0 , AIR20 , 2000-01-27 , 16:50 , BASE1 , 2000-01-27 , 19:30
LEG_27_1 , AIR12 , 2000-01-27 , 12:55 , BASE1 , 2000-01-27 , 15:55
LEG_27_2 , BASE1 , 2000-01-27 , 17:32 , AIR2 , 2000-01-27 , 21:28
LEG_27_3 , AIR2 , 2000-01-27 , 23:35 , BASE1 , 2000-01-28 , 03:08
LEG_27_4 , AIR17 , 2000-01-27 , 12:40 , BASE1 , 2000-01-27 , 14:09
LEG_27_5 , BASE1 , 2000-01-27 , 00:13 , AIR14 , 2000-01-27 , 02:44
LEG_27_6 , BASE1 , 2000-01-27 , 21:08 , AIR20 , 2000-01-27 , 23:25
LEG_27_7 , AIR3 , 2000-01-27 , 21:10 , BASE2 , 2000-01-27 , 23:12
LEG_27_8 , BASE2 , 2000-01-27 , 22:10 , AIR3 , 2000-01-27 , 23:54
LEG_27_9 , AIR4 , 2000-01-27 , 16:35 , BASE2 , 2000-01-27 , 21:06
LEG_27_10 , AIR5 , 2000-01-27 , 14:05 , BASE2 , 2000-01-27 , 16:06
LEG_27_11 , BASE2 , 2000-01-27 , 17:08 , AIR17 , 2000-01-27 , 17:53
LEG_27_12 , AIR45 , 2000-01-27 , 18:11 , BASE2 , 2000-01-27 , 21:11
LEG_27_13 , BASE2 , 2000-01-27 , 15:22 , AIR45 , 2000-01-27 , 18:20
LEG_27_14 , AIR22 , 2000-01-27 , 18:35 , BASE2 , 2000-01-27 , 19:28
LEG_27_15 , BASE2 , 2000-01-27 , 20:22 , AIR42 , 2000-01-28 , 01:10
LEG_27_16 , BASE2 , 2000-01-27 , 11:50 , AIR19 , 2000-01-27 , 13:33
LEG_27_17 , BASE2 , 2000-01-27 , 22:15 , AIR14 , 2000-01-27 , 23:59
LEG_27_18 , AIR2 , 2000-01-27 , 16:30 , BASE2 , 2000-01-27 , 20:53
LEG_27_19 , AIR7 , 2000-01-27 , 23:00 , BASE1 , 2000-01-28 , 01:13
LEG_27_20 , BASE1 , 2000-01-27 , 19:41 , AIR7 , 2000-01-27 , 22:08
LEG_27_21 , BASE1 , 2000-01-27 , 01:56 , AIR46 , 2000-01-27 , 04:27
LEG_27_22 , BASE3 , 2000-01-27 , 02:05 , BASE1 , 2000-01-27 , 03:58
LEG_27_23 , BASE1 , 2000-01-27 , 16:46 , AIR9 , 2000-01-27 , 19:30
LEG_27_24 , AIR9 , 2000-01-27 , 18:29 , BASE1 , 2000-01-27 , 21:27
LEG_27_25 , AIR11 , 2000-01-27 , 18:35 , BASE1 , 2000-01-27 , 20:26
LEG_27_26 , BASE1 , 2000-01-27 , 21:30 , AIR7 , 2000-01-28 , 00:02
LEG_27_27 , AIR19 , 2000-01-27 , 14:40 , BASE1 , 2000-01-27 , 17:51
LEG_27_28 , BASE1 , 2000-01-27 , 18:57 , AIR11 , 2000-01-27 , 20:57
LEG_27_29 , BASE2 , 2000-01-27 , 00:59 , AIR17 , 2000-01-27 , 01:52
LEG_27_30 , BASE1 , 2000-01-27 , 23:14 , AIR44 , 2000-01-28 , 02:16
LEG_27_31 , AIR7 , 2000-01-27 , 19:15 , BASE1 , 2000-01-27 , 21:42
LEG_27_32 , AIR44 , 2000-01-27 , 17:25 , BASE1 , 2000-01-27 , 20:11
LEG_27_33 , BASE1 , 2000-01-27 , 21:10 , AIR14 , 2000-01-27 , 23:43
LEG_27_34 , BASE1 , 2000-01-27 , 17:31 , AIR46 , 2000-01-27 , 20:11
LEG_27_35 , AIR46 , 2000-01-27 , 15:35 , BASE1 , 2000-01-27 , 18:03
LEG_27_36 , BASE1 , 2000-01-27 , 19:17 , AIR21 , 2000-01-27 , 21:41
LEG_27_37 , AIR46 , 2000-01-27 , 21:10 , BASE1 , 2000-01-27 , 23:43
LEG_27_38 , BASE3 , 2000-01-27 , 14:58 , AIR9 , 2000-01-27 , 17:26
LEG_27_39 , BASE3 , 2000-01-27 , 02:10 , AIR15 , 2000-01-27 , 03:52
LEG_27_40 , AIR9 , 2000-01-27 , 23:00 , BASE3 , 2000-01-28 , 02:10
LEG_27_41 , AIR7 , 2000-01-27 , 16:30 , BASE3 , 2000-01-27 , 17:54
LEG_27_42 , BASE3 , 2000-01-27 , 18:48 , AIR9 , 2000-01-27 , 21:18
LEG_27_43 , AIR8 , 2000-01-27 , 21:50 , BASE2 , 2000-01-27 , 22:54
LEG_27_44 , BASE2 , 2000-01-27 , 00:52 , AIR5 , 2000-01-27 , 02:33
LEG_27_45 , AIR7 , 2000-01-27 , 22:00 , BASE2 , 2000-01-28 , 00:40
LEG_27_46 , AIR17 , 2000-01-27 , 18:46 , BASE2 , 2000-01-27 , 19:33
LEG_27_47 , BASE2 , 2000-01-27 , 20:43 , AIR7 , 2000-01-27 , 23:27
LEG_27_48 , BASE2 , 2000-01-27 , 22:20 , AIR7 , 2000-01-28 , 01:22
LEG_27_49 , BASE2 , 2000-01-27 , 17:27 , AIR7 , 2000-01-27 , 20:22
