#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_19_0 , AIR1 , 2000-01-19 , 12:00 , BASE1 , 2000-01-19 , 13:21
LEG_19_1 , BASE1 , 2000-01-19 , 14:13 , AIR2 , 2000-01-19 , 18:00
LEG_19_2 , AIR2 , 2000-01-19 , 22:35 , BASE1 , 2000-01-20 , 02:02
LEG_19_3 , BASE1 , 2000-01-19 , 23:38 , AIR3 , 2000-01-20 , 02:21
LEG_19_4 , AIR2 , 2000-01-19 , 19:05 , BASE1 , 2000-01-19 , 22:33
LEG_19_5 , BASE1 , 2000-01-19 , 16:32 , AIR2 , 2000-01-19 , 20:26
LEG_19_6 , AIR3 , 2000-01-19 , 12:15 , BASE1 , 2000-01-19 , 15:20
LEG_19_7 , BASE1 , 2000-01-19 , 13:00 , AIR28 , 2000-01-19 , 14:15
LEG_19_8 , BASE1 , 2000-01-19 , 01:00 , AIR28 , 2000-01-19 , 02:12
LEG_19_9 , AIR5 , 2000-01-19 , 20:15 , BASE2 , 2000-01-19 , 22:18
LEG_19_10 , BASE2 , 2000-01-19 , 23:09 , AIR4 , 2000-01-20 , 04:19
LEG_19_11 , BASE2 , 2000-01-19 , 21:31 , AIR6 , 2000-01-19 , 22:51
LEG_19_12 , AIR4 , 2000-01-19 , 15:35 , BASE2 , 2000-01-19 , 20:12
LEG_19_13 , BASE2 , 2000-01-19 , 16:17 , AIR4 , 2000-01-19 , 21:22
LEG_19_14 , BASE1 , 2000-01-19 , 00:12 , AIR1 , 2000-01-19 , 01:47
LEG_19_15 , BASE2 , 2000-01-19 , 19:24 , AIR17 , 2000-01-19 , 20:15
LEG_19_16 , BASE1 , 2000-01-19 , 23:53 , AIR17 , 2000-01-20 , 01:14
LEG_19_17 , BASE1 , 2000-01-19 , 12:10 , AIR7 , 2000-01-19 , 14:45
LEG_19_18 , AIR7 , 2000-01-19 , 21:55 , BASE1 , 2000-01-20 , 00:14
LEG_19_19 , BASE1 , 2000-01-19 , 18:41 , AIR7 , 2000-01-19 , 21:05
LEG_19_20 , AIR7 , 2000-01-19 , 11:10 , BASE1 , 2000-01-19 , 13:30
LEG_19_21 , AIR8 , 2000-01-19 , 20:50 , BASE2 , 2000-01-19 , 21:52
LEG_19_22 , BASE3 , 2000-01-19 , 02:05 , BASE1 , 2000-01-19 , 03:58
LEG_19_23 , BASE1 , 2000-01-19 , 19:38 , AIR11 , 2000-01-19 , 21:33
LEG_19_24 , BASE1 , 2000-01-19 , 23:36 , AIR12 , 2000-01-20 , 02:14
LEG_19_25 , AIR13 , 2000-01-19 , 19:10 , BASE1 , 2000-01-19 , 22:14
LEG_19_26 , BASE1 , 2000-01-19 , 14:30 , AIR13 , 2000-01-19 , 17:53
LEG_19_27 , AIR14 , 2000-01-19 , 10:15 , BASE1 , 2000-01-19 , 13:03
LEG_19_28 , BASE1 , 2000-01-19 , 02:21 , AIR11 , 2000-01-19 , 04:16
LEG_19_29 , AIR11 , 2000-01-19 , 20:25 , BASE1 , 2000-01-19 , 22:18
LEG_19_30 , AIR15 , 2000-01-19 , 12:50 , BASE1 , 2000-01-19 , 15:31
LEG_19_31 , BASE3 , 2000-01-19 , 13:58 , AIR9 , 2000-01-19 , 16:29
LEG_19_32 , BASE3 , 2000-01-19 , 02:10 , AIR15 , 2000-01-19 , 03:52
LEG_19_33 , AIR9 , 2000-01-19 , 21:55 , BASE3 , 2000-01-20 , 00:55
LEG_19_34 , AIR7 , 2000-01-19 , 15:30 , BASE3 , 2000-01-19 , 16:54
LEG_19_35 , BASE3 , 2000-01-19 , 17:45 , AIR9 , 2000-01-19 , 20:26
LEG_19_36 , AIR9 , 2000-01-19 , 18:29 , BASE3 , 2000-01-19 , 21:28
LEG_19_37 , AIR3 , 2000-01-19 , 10:00 , BASE2 , 2000-01-19 , 12:04
