#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_22_0 , AIR1 , 2000-01-22 , 12:00 , BASE1 , 2000-01-22 , 13:21
LEG_22_1 , BASE1 , 2000-01-22 , 14:13 , AIR2 , 2000-01-22 , 18:00
LEG_22_2 , AIR2 , 2000-01-22 , 22:35 , BASE1 , 2000-01-23 , 02:02
LEG_22_3 , BASE1 , 2000-01-22 , 03:01 , BASE3 , 2000-01-22 , 04:50
LEG_22_4 , BASE1 , 2000-01-22 , 23:38 , AIR3 , 2000-01-23 , 02:21
LEG_22_5 , AIR2 , 2000-01-22 , 19:05 , BASE1 , 2000-01-22 , 22:33
LEG_22_6 , BASE1 , 2000-01-22 , 16:32 , AIR2 , 2000-01-22 , 20:26
LEG_22_7 , AIR3 , 2000-01-22 , 12:15 , BASE1 , 2000-01-22 , 15:20
LEG_22_8 , BASE1 , 2000-01-22 , 01:00 , AIR28 , 2000-01-22 , 02:12
LEG_22_9 , AIR5 , 2000-01-22 , 20:15 , BASE2 , 2000-01-22 , 22:18
LEG_22_10 , BASE2 , 2000-01-22 , 23:09 , AIR4 , 2000-01-23 , 04:19
LEG_22_11 , BASE2 , 2000-01-22 , 21:31 , AIR6 , 2000-01-22 , 22:51
LEG_22_12 , AIR4 , 2000-01-22 , 15:35 , BASE2 , 2000-01-22 , 20:12
LEG_22_13 , BASE1 , 2000-01-22 , 00:12 , AIR1 , 2000-01-22 , 01:47
LEG_22_14 , AIR20 , 2000-01-22 , 20:10 , BASE1 , 2000-01-22 , 22:53
LEG_22_15 , BASE1 , 2000-01-22 , 12:10 , AIR7 , 2000-01-22 , 14:45
LEG_22_16 , AIR7 , 2000-01-22 , 18:15 , BASE1 , 2000-01-22 , 20:43
LEG_22_17 , BASE1 , 2000-01-22 , 22:20 , AIR7 , 2000-01-23 , 00:50
LEG_22_18 , AIR7 , 2000-01-22 , 21:55 , BASE1 , 2000-01-23 , 00:14
LEG_22_19 , BASE1 , 2000-01-22 , 18:41 , AIR7 , 2000-01-22 , 21:05
LEG_22_20 , AIR7 , 2000-01-22 , 11:10 , BASE1 , 2000-01-22 , 13:30
LEG_22_21 , BASE1 , 2000-01-22 , 14:29 , AIR7 , 2000-01-22 , 16:57
LEG_22_22 , BASE1 , 2000-01-22 , 23:57 , AIR7 , 2000-01-23 , 02:31
LEG_22_23 , AIR8 , 2000-01-22 , 20:50 , BASE2 , 2000-01-22 , 21:52
LEG_22_24 , BASE3 , 2000-01-22 , 11:00 , BASE1 , 2000-01-22 , 13:02
LEG_22_25 , BASE3 , 2000-01-22 , 02:05 , BASE1 , 2000-01-22 , 03:58
LEG_22_26 , AIR9 , 2000-01-22 , 19:35 , BASE1 , 2000-01-22 , 22:48
LEG_22_27 , BASE1 , 2000-01-22 , 23:43 , AIR10 , 2000-01-23 , 01:08
LEG_22_28 , BASE1 , 2000-01-22 , 19:38 , AIR11 , 2000-01-22 , 21:33
LEG_22_29 , BASE1 , 2000-01-22 , 23:36 , AIR12 , 2000-01-23 , 02:14
LEG_22_30 , AIR13 , 2000-01-22 , 19:10 , BASE1 , 2000-01-22 , 22:14
LEG_22_31 , BASE1 , 2000-01-22 , 14:30 , AIR13 , 2000-01-22 , 17:53
LEG_22_32 , AIR14 , 2000-01-22 , 10:15 , BASE1 , 2000-01-22 , 13:03
LEG_22_33 , BASE1 , 2000-01-22 , 02:21 , AIR11 , 2000-01-22 , 04:16
LEG_22_34 , AIR15 , 2000-01-22 , 12:50 , BASE1 , 2000-01-22 , 15:31
LEG_22_35 , BASE3 , 2000-01-22 , 13:58 , AIR9 , 2000-01-22 , 16:29
LEG_22_36 , BASE3 , 2000-01-22 , 02:10 , AIR15 , 2000-01-22 , 03:52
LEG_22_37 , AIR9 , 2000-01-22 , 21:55 , BASE3 , 2000-01-23 , 00:55
LEG_22_38 , AIR7 , 2000-01-22 , 15:30 , BASE3 , 2000-01-22 , 16:54
LEG_22_39 , BASE3 , 2000-01-22 , 17:45 , AIR9 , 2000-01-22 , 20:26
LEG_22_40 , AIR9 , 2000-01-22 , 18:29 , BASE3 , 2000-01-22 , 21:28
LEG_22_41 , BASE2 , 2000-01-22 , 13:03 , AIR1 , 2000-01-22 , 15:05
LEG_22_42 , AIR3 , 2000-01-22 , 10:00 , BASE2 , 2000-01-22 , 12:04
LEG_22_43 , AIR7 , 2000-01-22 , 14:10 , BASE2 , 2000-01-22 , 16:51
LEG_22_44 , BASE2 , 2000-01-22 , 17:38 , AIR3 , 2000-01-22 , 19:23
LEG_22_45 , BASE2 , 2000-01-22 , 12:58 , AIR7 , 2000-01-22 , 15:41
LEG_22_46 , AIR5 , 2000-01-22 , 10:05 , BASE2 , 2000-01-22 , 12:07
LEG_22_47 , AIR7 , 2000-01-22 , 17:30 , BASE2 , 2000-01-22 , 20:08
LEG_22_48 , BASE2 , 2000-01-22 , 21:13 , AIR3 , 2000-01-22 , 23:06
LEG_22_49 , AIR16 , 2000-01-22 , 13:00 , BASE2 , 2000-01-22 , 14:43
LEG_22_50 , BASE2 , 2000-01-22 , 16:27 , AIR7 , 2000-01-22 , 19:22
LEG_22_51 , AIR7 , 2000-01-22 , 23:20 , BASE2 , 2000-01-23 , 01:55
LEG_22_52 , AIR3 , 2000-01-22 , 20:10 , BASE2 , 2000-01-22 , 22:17
LEG_22_53 , BASE2 , 2000-01-22 , 23:05 , AIR7 , 2000-01-23 , 02:01
LEG_22_54 , BASE2 , 2000-01-22 , 00:52 , AIR5 , 2000-01-22 , 02:33
LEG_22_55 , AIR7 , 2000-01-22 , 21:00 , BASE2 , 2000-01-22 , 23:43
LEG_22_56 , BASE2 , 2000-01-22 , 19:43 , AIR7 , 2000-01-22 , 22:29
LEG_22_57 , AIR17 , 2000-01-22 , 17:46 , BASE2 , 2000-01-22 , 18:37
LEG_22_58 , BASE3 , 2000-01-22 , 22:10 , AIR11 , 2000-01-23 , 00:35
LEG_22_59 , AIR18 , 2000-01-22 , 19:45 , BASE3 , 2000-01-22 , 21:17
LEG_22_60 , AIR11 , 2000-01-22 , 22:55 , BASE3 , 2000-01-23 , 01:05
LEG_22_61 , AIR11 , 2000-01-22 , 14:45 , BASE3 , 2000-01-22 , 16:53
LEG_22_62 , AIR18 , 2000-01-22 , 11:30 , BASE3 , 2000-01-22 , 13:00
LEG_22_63 , BASE3 , 2000-01-22 , 13:55 , AIR11 , 2000-01-22 , 16:18
LEG_22_64 , AIR1 , 2000-01-22 , 15:50 , BASE3 , 2000-01-22 , 17:10
LEG_22_65 , BASE3 , 2000-01-22 , 18:00 , AIR18 , 2000-01-22 , 19:37
LEG_22_66 , AIR18 , 2000-01-22 , 15:35 , BASE3 , 2000-01-22 , 17:02
LEG_22_67 , BASE3 , 2000-01-22 , 17:55 , AIR19 , 2000-01-22 , 20:45
