#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_15_0 , BASE1 , 2000-01-15 , 18:00 , AIR1 , 2000-01-15 , 19:15
LEG_15_1 , AIR1 , 2000-01-15 , 01:00 , BASE2 , 2000-01-15 , 02:11
LEG_15_2 , AIR2 , 2000-01-15 , 11:15 , BASE2 , 2000-01-15 , 13:17
LEG_15_3 , BASE2 , 2000-01-15 , 23:01 , AIR2 , 2000-01-16 , 00:52
LEG_15_4 , BASE2 , 2000-01-15 , 19:12 , AIR3 , 2000-01-15 , 21:11
LEG_15_5 , BASE2 , 2000-01-15 , 01:16 , AIR25 , 2000-01-15 , 02:05
LEG_15_6 , AIR3 , 2000-01-15 , 22:00 , BASE2 , 2000-01-16 , 00:22
LEG_15_7 , BASE1 , 2000-01-15 , 16:17 , AIR4 , 2000-01-15 , 18:47
LEG_15_8 , AIR24 , 2000-01-15 , 11:00 , BASE2 , 2000-01-15 , 11:45
LEG_15_9 , BASE2 , 2000-01-15 , 13:08 , AIR6 , 2000-01-15 , 15:26
LEG_15_10 , AIR6 , 2000-01-15 , 16:12 , BASE2 , 2000-01-15 , 18:34
LEG_15_11 , AIR4 , 2000-01-15 , 19:35 , BASE3 , 2000-01-15 , 21:10
LEG_15_12 , BASE3 , 2000-01-15 , 22:20 , AIR1 , 2000-01-16 , 00:05
LEG_15_13 , BASE3 , 2000-01-15 , 22:25 , AIR7 , 2000-01-15 , 23:13
LEG_15_14 , AIR1 , 2000-01-15 , 19:55 , BASE3 , 2000-01-15 , 21:35
LEG_15_15 , BASE2 , 2000-01-15 , 22:56 , AIR8 , 2000-01-16 , 00:59
LEG_15_16 , BASE1 , 2000-01-15 , 16:25 , AIR9 , 2000-01-15 , 17:14
LEG_15_17 , AIR10 , 2000-01-15 , 13:45 , BASE1 , 2000-01-15 , 15:23
LEG_15_18 , AIR11 , 2000-01-15 , 12:20 , BASE2 , 2000-01-15 , 13:16
LEG_15_19 , BASE2 , 2000-01-15 , 14:17 , AIR12 , 2000-01-15 , 15:58
LEG_15_20 , AIR12 , 2000-01-15 , 16:45 , BASE2 , 2000-01-15 , 18:28
LEG_15_21 , BASE2 , 2000-01-15 , 14:10 , BASE1 , 2000-01-15 , 16:02
LEG_15_22 , BASE2 , 2000-01-15 , 16:21 , BASE1 , 2000-01-15 , 18:20
LEG_15_23 , BASE1 , 2000-01-15 , 19:31 , AIR13 , 2000-01-15 , 20:23
