"Number of crews available at each base for each day of the period.  5.41958% slack added."

base  , BASE1 , BASE2 , BASE3
Day1  , 2     , 12    , 1    
Day2  , 4     , 15    , 1    
Day3  , 3     , 16    , 0    
Day4  , 2     , 17    , 1    
Day5  , 3     , 15    , 2    
Day6  , 4     , 13    , 1    
Day7  , 4     , 14    , 2    
Day8  , 5     , 14    , 2    
Day9  , 4     , 15    , 3    
Day10 , 4     , 13    , 3    
Day11 , 3     , 14    , 3    
Day12 , 2     , 13    , 4    
Day13 , 3     , 12    , 3    
Day14 , 4     , 13    , 4    
Day15 , 4     , 13    , 3    
Day16 , 3     , 15    , 4    
Day17 , 4     , 14    , 3    
Day18 , 4     , 14    , 2    
Day19 , 3     , 14    , 3    
Day20 , 3     , 11    , 3    
Day21 , 4     , 13    , 4    
Day22 , 4     , 14    , 2    
Day23 , 4     , 16    , 3    
Day24 , 3     , 13    , 4    
Day25 , 3     , 15    , 3    
Day26 , 4     , 12    , 2    
Day27 , 4     , 9     , 3    
Day28 , 4     , 10    , 3    
Day29 , 5     , 10    , 3    
Day30 , 6     , 10    , 3    
Day31 , 6     , 9     , 2    
