#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_29_0 , BASE1 , 2000-01-29 , 19:00 , AIR1 , 2000-01-29 , 20:16
LEG_29_1 , BASE1 , 2000-01-29 , 20:00 , AIR1 , 2000-01-29 , 21:17
LEG_29_2 , AIR1 , 2000-01-29 , 22:00 , BASE1 , 2000-01-29 , 23:36
LEG_29_3 , AIR3 , 2000-01-29 , 12:10 , BASE2 , 2000-01-29 , 14:25
LEG_29_4 , BASE2 , 2000-01-29 , 20:20 , AIR2 , 2000-01-29 , 22:10
LEG_29_5 , AIR2 , 2000-01-29 , 23:05 , BASE2 , 2000-01-30 , 01:09
LEG_29_6 , BASE1 , 2000-01-29 , 23:11 , AIR3 , 2000-01-30 , 01:55
LEG_29_7 , BASE2 , 2000-01-29 , 15:12 , BASE1 , 2000-01-29 , 17:07
LEG_29_8 , BASE2 , 2000-01-29 , 18:40 , BASE1 , 2000-01-29 , 20:29
LEG_29_9 , BASE2 , 2000-01-29 , 17:29 , BASE1 , 2000-01-29 , 19:26
LEG_29_10 , BASE1 , 2000-01-29 , 04:05 , AIR14 , 2000-01-29 , 05:28
LEG_29_11 , BASE3 , 2000-01-29 , 03:30 , AIR22 , 2000-01-29 , 04:24
LEG_29_12 , AIR8 , 2000-01-29 , 01:00 , BASE3 , 2000-01-29 , 02:20
LEG_29_13 , BASE3 , 2000-01-29 , 23:20 , AIR22 , 2000-01-30 , 00:15
LEG_29_14 , AIR1 , 2000-01-29 , 20:56 , BASE3 , 2000-01-29 , 22:35
LEG_29_15 , AIR32 , 2000-01-29 , 22:10 , BASE2 , 2000-01-29 , 23:16
LEG_29_16 , AIR35 , 2000-01-29 , 14:15 , BASE2 , 2000-01-29 , 16:15
LEG_29_17 , BASE2 , 2000-01-29 , 17:10 , AIR22 , 2000-01-29 , 18:49
LEG_29_18 , BASE2 , 2000-01-29 , 22:15 , AIR35 , 2000-01-29 , 23:58
LEG_29_19 , AIR10 , 2000-01-29 , 19:35 , BASE2 , 2000-01-29 , 21:14
LEG_29_20 , AIR38 , 2000-01-29 , 12:55 , BASE3 , 2000-01-29 , 13:56
LEG_29_21 , BASE3 , 2000-01-29 , 14:50 , AIR36 , 2000-01-29 , 16:15
LEG_29_22 , BASE1 , 2000-01-29 , 21:08 , AIR22 , 2000-01-29 , 23:14
LEG_29_23 , AIR22 , 2000-01-29 , 00:00 , BASE1 , 2000-01-29 , 02:10
LEG_29_24 , BASE1 , 2000-01-29 , 16:35 , AIR22 , 2000-01-29 , 18:44
LEG_29_25 , AIR14 , 2000-01-29 , 14:15 , BASE1 , 2000-01-29 , 15:49
LEG_29_26 , AIR22 , 2000-01-29 , 19:25 , BASE1 , 2000-01-29 , 21:30
LEG_29_27 , AIR22 , 2000-01-29 , 14:40 , BASE2 , 2000-01-29 , 16:14
LEG_29_28 , BASE2 , 2000-01-29 , 17:20 , AIR1 , 2000-01-29 , 18:36
LEG_29_29 , AIR22 , 2000-01-29 , 01:10 , BASE3 , 2000-01-29 , 02:13
LEG_29_30 , BASE3 , 2000-01-29 , 03:35 , AIR38 , 2000-01-29 , 04:27
LEG_29_31 , BASE1 , 2000-01-29 , 21:40 , AIR8 , 2000-01-30 , 00:14
LEG_29_32 , AIR30 , 2000-01-29 , 12:00 , BASE2 , 2000-01-29 , 13:14
LEG_29_33 , BASE2 , 2000-01-29 , 14:19 , AIR16 , 2000-01-29 , 16:00
LEG_29_34 , BASE2 , 2000-01-29 , 20:18 , AIR32 , 2000-01-29 , 21:26
LEG_29_35 , AIR16 , 2000-01-29 , 17:00 , BASE2 , 2000-01-29 , 18:59
LEG_29_36 , AIR22 , 2000-01-29 , 12:50 , BASE2 , 2000-01-29 , 14:26
LEG_29_37 , BASE2 , 2000-01-29 , 15:26 , AIR17 , 2000-01-29 , 16:32
LEG_29_38 , BASE1 , 2000-01-29 , 01:20 , AIR30 , 2000-01-29 , 02:33
LEG_29_39 , AIR17 , 2000-01-29 , 17:40 , BASE2 , 2000-01-29 , 18:55
LEG_29_40 , BASE2 , 2000-01-29 , 01:50 , AIR23 , 2000-01-29 , 03:13
LEG_29_41 , AIR10 , 2000-01-29 , 23:00 , BASE2 , 2000-01-30 , 00:36
LEG_29_42 , AIR23 , 2000-01-29 , 17:35 , BASE2 , 2000-01-29 , 19:22
LEG_29_43 , BASE2 , 2000-01-29 , 20:28 , AIR10 , 2000-01-29 , 22:10
LEG_29_44 , AIR23 , 2000-01-29 , 11:10 , BASE2 , 2000-01-29 , 12:58
LEG_29_45 , BASE2 , 2000-01-29 , 13:52 , AIR22 , 2000-01-29 , 15:26
LEG_29_46 , BASE2 , 2000-01-29 , 21:58 , AIR23 , 2000-01-29 , 23:30
LEG_29_47 , AIR1 , 2000-01-29 , 19:45 , BASE2 , 2000-01-29 , 21:02
LEG_29_48 , AIR23 , 2000-01-29 , 13:55 , BASE2 , 2000-01-29 , 15:41
LEG_29_49 , BASE2 , 2000-01-29 , 17:07 , AIR10 , 2000-01-29 , 18:50
LEG_29_50 , AIR10 , 2000-01-29 , 13:00 , BASE2 , 2000-01-29 , 14:36
LEG_29_51 , BASE2 , 2000-01-29 , 15:25 , AIR23 , 2000-01-29 , 16:52
LEG_29_52 , AIR36 , 2000-01-29 , 17:00 , BASE1 , 2000-01-29 , 18:21
LEG_29_53 , BASE2 , 2000-01-29 , 00:06 , AIR10 , 2000-01-29 , 01:50
LEG_29_54 , AIR22 , 2000-01-29 , 16:15 , BASE2 , 2000-01-29 , 17:49
LEG_29_55 , BASE2 , 2000-01-29 , 11:45 , AIR22 , 2000-01-29 , 13:24
LEG_29_56 , AIR33 , 2000-01-29 , 14:00 , BASE2 , 2000-01-29 , 16:06
LEG_29_57 , BASE2 , 2000-01-29 , 22:13 , AIR33 , 2000-01-29 , 23:59
LEG_29_58 , AIR22 , 2000-01-29 , 19:40 , BASE2 , 2000-01-29 , 21:16
