#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_06_0 , BASE1 , 2000-01-06 , 18:00 , AIR1 , 2000-01-06 , 19:15
LEG_06_1 , AIR30 , 2000-01-06 , 12:10 , BASE2 , 2000-01-06 , 13:26
LEG_06_2 , BASE2 , 2000-01-06 , 23:01 , AIR2 , 2000-01-07 , 00:52
LEG_06_3 , BASE2 , 2000-01-06 , 19:12 , AIR3 , 2000-01-06 , 21:11
LEG_06_4 , BASE2 , 2000-01-06 , 01:16 , AIR25 , 2000-01-06 , 02:05
LEG_06_5 , AIR3 , 2000-01-06 , 22:00 , BASE2 , 2000-01-07 , 00:22
LEG_06_6 , BASE1 , 2000-01-06 , 16:17 , AIR4 , 2000-01-06 , 18:47
LEG_06_7 , AIR15 , 2000-01-06 , 12:20 , BASE2 , 2000-01-06 , 13:26
LEG_06_8 , BASE2 , 2000-01-06 , 21:11 , AIR18 , 2000-01-06 , 22:19
LEG_06_9 , BASE2 , 2000-01-06 , 13:08 , AIR6 , 2000-01-06 , 15:26
LEG_06_10 , AIR6 , 2000-01-06 , 16:12 , BASE2 , 2000-01-06 , 18:34
LEG_06_11 , AIR4 , 2000-01-06 , 19:35 , BASE3 , 2000-01-06 , 21:10
LEG_06_12 , BASE3 , 2000-01-06 , 22:20 , AIR1 , 2000-01-07 , 00:05
LEG_06_13 , BASE3 , 2000-01-06 , 22:25 , AIR7 , 2000-01-06 , 23:13
LEG_06_14 , AIR1 , 2000-01-06 , 19:55 , BASE3 , 2000-01-06 , 21:35
LEG_06_15 , AIR25 , 2000-01-06 , 14:40 , BASE2 , 2000-01-06 , 15:24
LEG_06_16 , BASE2 , 2000-01-06 , 22:56 , AIR8 , 2000-01-07 , 00:59
LEG_06_17 , BASE2 , 2000-01-06 , 14:10 , BASE1 , 2000-01-06 , 16:02
LEG_06_18 , BASE2 , 2000-01-06 , 16:21 , BASE1 , 2000-01-06 , 18:20
LEG_06_19 , BASE1 , 2000-01-06 , 19:31 , AIR13 , 2000-01-06 , 20:23
LEG_06_20 , AIR14 , 2000-01-06 , 21:35 , BASE1 , 2000-01-06 , 22:59
LEG_06_21 , BASE1 , 2000-01-06 , 19:27 , AIR14 , 2000-01-06 , 20:53
LEG_06_22 , BASE2 , 2000-01-06 , 12:54 , AIR15 , 2000-01-06 , 13:59
LEG_06_23 , BASE1 , 2000-01-06 , 23:50 , BASE2 , 2000-01-07 , 01:49
LEG_06_24 , AIR13 , 2000-01-06 , 21:25 , BASE1 , 2000-01-06 , 22:26
LEG_06_25 , BASE3 , 2000-01-06 , 18:08 , BASE2 , 2000-01-06 , 20:02
LEG_06_26 , BASE2 , 2000-01-06 , 21:25 , AIR16 , 2000-01-06 , 23:14
LEG_06_27 , AIR15 , 2000-01-06 , 15:00 , BASE3 , 2000-01-06 , 16:44
LEG_06_28 , AIR2 , 2000-01-06 , 10:10 , BASE2 , 2000-01-06 , 12:11
LEG_06_29 , BASE1 , 2000-01-06 , 23:48 , AIR17 , 2000-01-07 , 01:52
LEG_06_30 , AIR18 , 2000-01-06 , 14:05 , BASE2 , 2000-01-06 , 15:17
LEG_06_31 , AIR18 , 2000-01-06 , 23:12 , BASE2 , 2000-01-07 , 00:23
LEG_06_32 , BASE2 , 2000-01-06 , 19:35 , AIR20 , 2000-01-06 , 21:12
LEG_06_33 , AIR20 , 2000-01-06 , 22:15 , BASE2 , 2000-01-06 , 23:53
LEG_06_34 , BASE2 , 2000-01-06 , 01:17 , AIR2 , 2000-01-06 , 02:57
LEG_06_35 , AIR10 , 2000-01-06 , 11:50 , BASE2 , 2000-01-06 , 13:28
LEG_06_36 , BASE1 , 2000-01-06 , 00:20 , AIR30 , 2000-01-06 , 01:30
LEG_06_37 , BASE2 , 2000-01-06 , 12:52 , AIR22 , 2000-01-06 , 14:25
LEG_06_38 , AIR22 , 2000-01-06 , 22:05 , BASE2 , 2000-01-06 , 23:44
LEG_06_39 , BASE2 , 2000-01-06 , 13:19 , AIR16 , 2000-01-06 , 15:06
LEG_06_40 , AIR16 , 2000-01-06 , 20:05 , BASE2 , 2000-01-06 , 22:01
LEG_06_41 , AIR22 , 2000-01-06 , 15:10 , BASE2 , 2000-01-06 , 16:47
LEG_06_42 , BASE2 , 2000-01-06 , 17:37 , AIR16 , 2000-01-06 , 19:17
LEG_06_43 , AIR16 , 2000-01-06 , 16:00 , BASE2 , 2000-01-06 , 17:55
LEG_06_44 , AIR22 , 2000-01-06 , 16:35 , BASE1 , 2000-01-06 , 18:40
LEG_06_45 , AIR29 , 2000-01-06 , 14:00 , BASE2 , 2000-01-06 , 16:34
LEG_06_46 , AIR23 , 2000-01-06 , 10:10 , BASE2 , 2000-01-06 , 11:55
LEG_06_47 , BASE2 , 2000-01-06 , 14:20 , AIR23 , 2000-01-06 , 15:47
LEG_06_48 , BASE2 , 2000-01-06 , 00:50 , AIR23 , 2000-01-06 , 02:18
LEG_06_49 , AIR23 , 2000-01-06 , 16:30 , BASE2 , 2000-01-06 , 18:18
LEG_06_50 , BASE2 , 2000-01-06 , 17:48 , AIR23 , 2000-01-06 , 19:19
LEG_06_51 , AIR4 , 2000-01-06 , 12:45 , BASE1 , 2000-01-06 , 15:05
LEG_06_52 , AIR23 , 2000-01-06 , 20:05 , BASE2 , 2000-01-06 , 21:50
LEG_06_53 , BASE2 , 2000-01-06 , 19:27 , AIR22 , 2000-01-06 , 21:08
LEG_06_54 , BASE2 , 2000-01-06 , 14:13 , AIR22 , 2000-01-06 , 15:53
