#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_07_0 , BASE1 , 2000-01-07 , 18:00 , AIR1 , 2000-01-07 , 19:15
LEG_07_1 , AIR1 , 2000-01-07 , 01:00 , BASE2 , 2000-01-07 , 02:11
LEG_07_2 , AIR2 , 2000-01-07 , 11:15 , BASE2 , 2000-01-07 , 13:17
LEG_07_3 , BASE2 , 2000-01-07 , 23:01 , AIR2 , 2000-01-08 , 00:52
LEG_07_4 , BASE2 , 2000-01-07 , 19:12 , AIR3 , 2000-01-07 , 21:11
LEG_07_5 , BASE2 , 2000-01-07 , 01:16 , AIR25 , 2000-01-07 , 02:05
LEG_07_6 , AIR3 , 2000-01-07 , 22:00 , BASE2 , 2000-01-08 , 00:22
LEG_07_7 , BASE1 , 2000-01-07 , 16:17 , AIR4 , 2000-01-07 , 18:47
LEG_07_8 , AIR24 , 2000-01-07 , 11:00 , BASE2 , 2000-01-07 , 11:45
LEG_07_9 , BASE2 , 2000-01-07 , 13:08 , AIR6 , 2000-01-07 , 15:26
LEG_07_10 , AIR6 , 2000-01-07 , 16:12 , BASE2 , 2000-01-07 , 18:34
LEG_07_11 , AIR4 , 2000-01-07 , 19:35 , BASE3 , 2000-01-07 , 21:10
LEG_07_12 , BASE3 , 2000-01-07 , 22:20 , AIR1 , 2000-01-08 , 00:05
LEG_07_13 , BASE3 , 2000-01-07 , 22:25 , AIR7 , 2000-01-07 , 23:13
LEG_07_14 , AIR1 , 2000-01-07 , 19:55 , BASE3 , 2000-01-07 , 21:35
LEG_07_15 , BASE2 , 2000-01-07 , 22:56 , AIR8 , 2000-01-08 , 00:59
LEG_07_16 , BASE1 , 2000-01-07 , 16:25 , AIR9 , 2000-01-07 , 17:14
LEG_07_17 , AIR10 , 2000-01-07 , 13:45 , BASE1 , 2000-01-07 , 15:23
LEG_07_18 , AIR11 , 2000-01-07 , 12:20 , BASE2 , 2000-01-07 , 13:16
LEG_07_19 , BASE2 , 2000-01-07 , 14:17 , AIR12 , 2000-01-07 , 15:58
LEG_07_20 , AIR12 , 2000-01-07 , 16:45 , BASE2 , 2000-01-07 , 18:28
LEG_07_21 , BASE2 , 2000-01-07 , 14:10 , BASE1 , 2000-01-07 , 16:02
LEG_07_22 , BASE2 , 2000-01-07 , 16:21 , BASE1 , 2000-01-07 , 18:20
LEG_07_23 , BASE1 , 2000-01-07 , 19:31 , AIR13 , 2000-01-07 , 20:23
LEG_07_24 , AIR14 , 2000-01-07 , 21:35 , BASE1 , 2000-01-07 , 22:59
LEG_07_25 , AIR9 , 2000-01-07 , 17:55 , BASE1 , 2000-01-07 , 18:42
LEG_07_26 , BASE1 , 2000-01-07 , 19:27 , AIR14 , 2000-01-07 , 20:53
LEG_07_27 , AIR8 , 2000-01-07 , 10:00 , BASE2 , 2000-01-07 , 11:52
LEG_07_28 , BASE2 , 2000-01-07 , 12:54 , AIR15 , 2000-01-07 , 13:59
LEG_07_29 , BASE1 , 2000-01-07 , 23:50 , BASE2 , 2000-01-08 , 01:49
LEG_07_30 , AIR13 , 2000-01-07 , 21:25 , BASE1 , 2000-01-07 , 22:26
LEG_07_31 , BASE3 , 2000-01-07 , 18:08 , BASE2 , 2000-01-07 , 20:02
LEG_07_32 , BASE2 , 2000-01-07 , 21:25 , AIR16 , 2000-01-07 , 23:14
LEG_07_33 , AIR15 , 2000-01-07 , 15:00 , BASE3 , 2000-01-07 , 16:44
LEG_07_34 , BASE3 , 2000-01-07 , 02:30 , AIR10 , 2000-01-07 , 03:34
LEG_07_35 , AIR7 , 2000-01-07 , 00:10 , BASE3 , 2000-01-07 , 00:56
LEG_07_36 , BASE1 , 2000-01-07 , 23:48 , AIR17 , 2000-01-08 , 01:52
LEG_07_37 , AIR17 , 2000-01-07 , 13:00 , BASE1 , 2000-01-07 , 15:10
LEG_07_38 , BASE2 , 2000-01-07 , 10:36 , AIR19 , 2000-01-07 , 11:29
LEG_07_39 , AIR19 , 2000-01-07 , 12:10 , BASE2 , 2000-01-07 , 13:18
LEG_07_40 , BASE2 , 2000-01-07 , 19:35 , AIR20 , 2000-01-07 , 21:12
LEG_07_41 , AIR20 , 2000-01-07 , 22:15 , BASE2 , 2000-01-07 , 23:53
LEG_07_42 , BASE2 , 2000-01-07 , 21:20 , AIR19 , 2000-01-07 , 22:25
LEG_07_43 , AIR21 , 2000-01-07 , 10:20 , BASE2 , 2000-01-07 , 11:53
LEG_07_44 , BASE2 , 2000-01-07 , 12:52 , AIR22 , 2000-01-07 , 14:25
LEG_07_45 , AIR22 , 2000-01-07 , 22:05 , BASE2 , 2000-01-07 , 23:44
LEG_07_46 , BASE2 , 2000-01-07 , 01:01 , AIR21 , 2000-01-07 , 02:29
LEG_07_47 , AIR16 , 2000-01-07 , 20:05 , BASE2 , 2000-01-07 , 22:01
LEG_07_48 , AIR16 , 2000-01-07 , 13:10 , BASE2 , 2000-01-07 , 15:05
