#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_28_0 , AIR1 , 2000-01-28 , 14:55 , BASE1 , 2000-01-28 , 18:00
LEG_28_1 , AIR19 , 2000-01-28 , 13:00 , BASE1 , 2000-01-28 , 14:31
LEG_28_2 , BASE1 , 2000-01-28 , 15:31 , AIR1 , 2000-01-28 , 18:57
LEG_28_3 , AIR1 , 2000-01-28 , 20:10 , BASE1 , 2000-01-28 , 23:18
LEG_28_4 , BASE1 , 2000-01-28 , 23:34 , AIR1 , 2000-01-29 , 02:56
LEG_28_5 , BASE1 , 2000-01-28 , 17:43 , AIR1 , 2000-01-28 , 20:58
LEG_28_6 , BASE1 , 2000-01-28 , 03:22 , AIR1 , 2000-01-28 , 06:37
LEG_28_7 , BASE1 , 2000-01-28 , 13:06 , AIR1 , 2000-01-28 , 16:27
LEG_28_8 , AIR1 , 2000-01-28 , 17:25 , BASE1 , 2000-01-28 , 20:26
LEG_28_9 , AIR4 , 2000-01-28 , 14:40 , BASE1 , 2000-01-28 , 17:58
LEG_28_10 , AIR4 , 2000-01-28 , 18:15 , BASE1 , 2000-01-28 , 21:25
LEG_28_11 , AIR4 , 2000-01-28 , 00:05 , BASE1 , 2000-01-28 , 03:19
LEG_28_12 , BASE1 , 2000-01-28 , 00:47 , AIR4 , 2000-01-28 , 04:42
LEG_28_13 , AIR4 , 2000-01-28 , 23:00 , BASE1 , 2000-01-29 , 02:12
LEG_28_14 , BASE1 , 2000-01-28 , 03:24 , AIR4 , 2000-01-28 , 07:05
LEG_28_15 , AIR2 , 2000-01-28 , 13:00 , BASE1 , 2000-01-28 , 16:18
LEG_28_16 , BASE1 , 2000-01-28 , 17:39 , AIR4 , 2000-01-28 , 21:23
LEG_28_17 , BASE1 , 2000-01-28 , 00:46 , AIR8 , 2000-01-28 , 03:10
LEG_28_18 , AIR4 , 2000-01-28 , 20:10 , BASE1 , 2000-01-28 , 23:26
LEG_28_19 , BASE1 , 2000-01-28 , 23:31 , AIR30 , 2000-01-29 , 03:21
LEG_28_20 , AIR10 , 2000-01-28 , 19:29 , BASE1 , 2000-01-28 , 22:08
LEG_28_21 , AIR30 , 2000-01-28 , 14:30 , BASE1 , 2000-01-28 , 18:03
LEG_28_22 , BASE1 , 2000-01-28 , 19:15 , BASE3 , 2000-01-28 , 21:16
LEG_28_23 , BASE2 , 2000-01-28 , 22:12 , AIR8 , 2000-01-28 , 23:44
LEG_28_24 , AIR4 , 2000-01-28 , 17:00 , BASE2 , 2000-01-28 , 21:05
LEG_28_25 , BASE2 , 2000-01-28 , 14:07 , AIR4 , 2000-01-28 , 19:01
LEG_28_26 , BASE2 , 2000-01-28 , 17:18 , AIR4 , 2000-01-28 , 22:09
LEG_28_27 , AIR6 , 2000-01-28 , 14:20 , BASE2 , 2000-01-28 , 16:23
LEG_28_28 , BASE2 , 2000-01-28 , 20:37 , AIR4 , 2000-01-29 , 01:27
LEG_28_29 , AIR2 , 2000-01-28 , 17:05 , BASE2 , 2000-01-28 , 19:17
LEG_28_30 , BASE2 , 2000-01-28 , 18:36 , AIR9 , 2000-01-28 , 20:13
LEG_28_31 , AIR1 , 2000-01-28 , 14:00 , BASE2 , 2000-01-28 , 17:43
LEG_28_32 , BASE2 , 2000-01-28 , 14:00 , AIR1 , 2000-01-28 , 18:24
LEG_28_33 , BASE2 , 2000-01-28 , 11:39 , AIR6 , 2000-01-28 , 13:18
LEG_28_34 , AIR1 , 2000-01-28 , 06:59 , BASE2 , 2000-01-28 , 10:46
LEG_28_35 , BASE2 , 2000-01-28 , 00:15 , AIR1 , 2000-01-28 , 04:34
LEG_28_36 , AIR6 , 2000-01-28 , 21:15 , BASE2 , 2000-01-28 , 23:14
LEG_28_37 , BASE2 , 2000-01-28 , 02:23 , AIR6 , 2000-01-28 , 04:00
LEG_28_38 , AIR1 , 2000-01-28 , 21:10 , BASE2 , 2000-01-29 , 00:56
LEG_28_39 , BASE2 , 2000-01-28 , 20:41 , AIR1 , 2000-01-29 , 01:03
LEG_28_40 , BASE2 , 2000-01-28 , 22:04 , AIR6 , 2000-01-28 , 23:50
