#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_11_0 , BASE1 , 2000-01-11 , 12:06 , AIR1 , 2000-01-11 , 15:22
LEG_11_1 , AIR1 , 2000-01-11 , 13:55 , BASE1 , 2000-01-11 , 16:57
LEG_11_2 , BASE1 , 2000-01-11 , 14:31 , AIR1 , 2000-01-11 , 17:52
LEG_11_3 , BASE1 , 2000-01-11 , 22:34 , AIR1 , 2000-01-12 , 01:51
LEG_11_4 , AIR1 , 2000-01-11 , 19:15 , BASE1 , 2000-01-11 , 22:18
LEG_11_5 , BASE1 , 2000-01-11 , 00:02 , AIR19 , 2000-01-11 , 01:28
LEG_11_6 , BASE1 , 2000-01-11 , 16:43 , AIR1 , 2000-01-11 , 20:05
LEG_11_7 , BASE1 , 2000-01-11 , 02:22 , AIR1 , 2000-01-11 , 05:37
LEG_11_8 , AIR2 , 2000-01-11 , 21:50 , BASE1 , 2000-01-12 , 01:06
LEG_11_9 , AIR1 , 2000-01-11 , 21:20 , BASE1 , 2000-01-12 , 00:19
LEG_11_10 , BASE1 , 2000-01-11 , 20:43 , AIR3 , 2000-01-11 , 21:47
LEG_11_11 , AIR1 , 2000-01-11 , 16:25 , BASE1 , 2000-01-11 , 19:26
LEG_11_12 , BASE1 , 2000-01-11 , 18:11 , BASE2 , 2000-01-11 , 19:58
LEG_11_13 , AIR4 , 2000-01-11 , 13:40 , BASE1 , 2000-01-11 , 16:57
LEG_11_14 , BASE1 , 2000-01-11 , 19:35 , AIR5 , 2000-01-11 , 23:31
LEG_11_15 , AIR6 , 2000-01-11 , 15:38 , BASE1 , 2000-01-11 , 18:45
LEG_11_16 , BASE1 , 2000-01-11 , 22:21 , AIR4 , 2000-01-12 , 02:05
LEG_11_17 , AIR4 , 2000-01-11 , 22:00 , BASE1 , 2000-01-12 , 01:13
LEG_11_18 , BASE2 , 2000-01-11 , 10:54 , AIR7 , 2000-01-11 , 12:06
LEG_11_19 , BASE1 , 2000-01-11 , 23:46 , AIR8 , 2000-01-12 , 02:14
LEG_11_20 , AIR4 , 2000-01-11 , 19:10 , BASE1 , 2000-01-11 , 22:24
LEG_11_21 , BASE2 , 2000-01-11 , 10:47 , AIR10 , 2000-01-11 , 12:19
LEG_11_22 , AIR10 , 2000-01-11 , 00:15 , BASE2 , 2000-01-11 , 01:52
LEG_11_23 , AIR1 , 2000-01-11 , 20:05 , BASE2 , 2000-01-11 , 23:55
LEG_11_24 , BASE2 , 2000-01-11 , 01:11 , AIR2 , 2000-01-11 , 03:00
LEG_11_25 , BASE2 , 2000-01-11 , 23:15 , AIR1 , 2000-01-12 , 03:37
LEG_11_26 , AIR9 , 2000-01-11 , 20:15 , BASE2 , 2000-01-11 , 22:13
LEG_11_27 , AIR1 , 2000-01-11 , 16:00 , BASE2 , 2000-01-11 , 19:53
LEG_11_28 , BASE2 , 2000-01-11 , 21:22 , AIR10 , 2000-01-11 , 22:47
