#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_04_0 , BASE1 , 2000-01-04 , 12:06 , AIR1 , 2000-01-04 , 15:22
LEG_04_1 , AIR1 , 2000-01-04 , 13:55 , BASE1 , 2000-01-04 , 16:57
LEG_04_2 , BASE1 , 2000-01-04 , 14:31 , AIR1 , 2000-01-04 , 17:52
LEG_04_3 , BASE1 , 2000-01-04 , 22:34 , AIR1 , 2000-01-05 , 01:51
LEG_04_4 , AIR1 , 2000-01-04 , 19:15 , BASE1 , 2000-01-04 , 22:18
LEG_04_5 , BASE1 , 2000-01-04 , 00:02 , AIR19 , 2000-01-04 , 01:28
LEG_04_6 , BASE1 , 2000-01-04 , 16:43 , AIR1 , 2000-01-04 , 20:05
LEG_04_7 , BASE1 , 2000-01-04 , 02:22 , AIR1 , 2000-01-04 , 05:37
LEG_04_8 , AIR2 , 2000-01-04 , 21:50 , BASE1 , 2000-01-05 , 01:06
LEG_04_9 , AIR1 , 2000-01-04 , 21:20 , BASE1 , 2000-01-05 , 00:19
LEG_04_10 , BASE1 , 2000-01-04 , 20:43 , AIR3 , 2000-01-04 , 21:47
LEG_04_11 , AIR1 , 2000-01-04 , 16:25 , BASE1 , 2000-01-04 , 19:26
LEG_04_12 , BASE1 , 2000-01-04 , 18:11 , BASE2 , 2000-01-04 , 19:58
LEG_04_13 , AIR4 , 2000-01-04 , 13:40 , BASE1 , 2000-01-04 , 16:57
LEG_04_14 , BASE1 , 2000-01-04 , 19:35 , AIR5 , 2000-01-04 , 23:31
LEG_04_15 , AIR6 , 2000-01-04 , 15:38 , BASE1 , 2000-01-04 , 18:45
LEG_04_16 , AIR4 , 2000-01-04 , 17:30 , BASE1 , 2000-01-04 , 20:40
LEG_04_17 , BASE1 , 2000-01-04 , 22:21 , AIR4 , 2000-01-05 , 02:05
LEG_04_18 , BASE1 , 2000-01-04 , 23:47 , AIR4 , 2000-01-05 , 03:35
LEG_04_19 , AIR4 , 2000-01-04 , 22:00 , BASE1 , 2000-01-05 , 01:13
LEG_04_20 , BASE2 , 2000-01-04 , 10:54 , AIR7 , 2000-01-04 , 12:06
LEG_04_21 , BASE1 , 2000-01-04 , 23:46 , AIR8 , 2000-01-05 , 02:14
LEG_04_22 , AIR4 , 2000-01-04 , 19:10 , BASE1 , 2000-01-04 , 22:24
LEG_04_23 , BASE2 , 2000-01-04 , 10:47 , AIR10 , 2000-01-04 , 12:19
LEG_04_24 , AIR10 , 2000-01-04 , 00:15 , BASE2 , 2000-01-04 , 01:52
LEG_04_25 , AIR1 , 2000-01-04 , 20:05 , BASE2 , 2000-01-04 , 23:55
LEG_04_26 , BASE2 , 2000-01-04 , 01:11 , AIR2 , 2000-01-04 , 03:00
LEG_04_27 , BASE2 , 2000-01-04 , 23:15 , AIR1 , 2000-01-05 , 03:37
LEG_04_28 , AIR9 , 2000-01-04 , 20:15 , BASE2 , 2000-01-04 , 22:13
LEG_04_29 , AIR1 , 2000-01-04 , 16:00 , BASE2 , 2000-01-04 , 19:53
LEG_04_30 , BASE2 , 2000-01-04 , 21:22 , AIR10 , 2000-01-04 , 22:47
LEG_04_31 , AIR8 , 2000-01-04 , 10:20 , BASE2 , 2000-01-04 , 11:55
LEG_04_32 , BASE2 , 2000-01-04 , 12:57 , AIR1 , 2000-01-04 , 17:15
LEG_04_33 , BASE2 , 2000-01-04 , 10:37 , AIR6 , 2000-01-04 , 12:24
