airport , isBase , nbEmployees
BASE1   , 1      , 140
AIR1    , 0      , 0
AIR2    , 0      , 0
AIR3    , 0      , 0
BASE2   , 1      , 101
AIR4    , 0      , 0
AIR5    , 0      , 0
AIR6    , 0      , 0
AIR7    , 0      , 0
AIR8    , 0      , 0
AIR9    , 0      , 0
AIR10   , 0      , 0
BASE3   , 1      , 6
AIR11   , 0      , 0
AIR12   , 0      , 0
AIR13   , 0      , 0
AIR14   , 0      , 0
AIR15   , 0      , 0
AIR16   , 0      , 0
AIR17   , 0      , 0
AIR18   , 0      , 0
AIR19   , 0      , 0
AIR20   , 0      , 0
AIR21   , 0      , 0
AIR22   , 0      , 0
AIR23   , 0      , 0
AIR24   , 0      , 0
AIR25   , 0      , 0
AIR26   , 0      , 0
AIR27   , 0      , 0
AIR28   , 0      , 0
AIR29   , 0      , 0
AIR30   , 0      , 0
AIR31   , 0      , 0
