"Number of crews available at each base for each day of the period."

base  , BASE1 , BASE2 , BASE3
Day1  , 47    , 35    , 2    
Day2  , 47    , 35    , 2    
Day3  , 47    , 35    , 2    
Day4  , 47    , 35    , 2    
Day5  , 47    , 35    , 2    
Day6  , 47    , 35    , 2    
Day7  , 47    , 35    , 2    
Day8  , 47    , 35    , 2    
Day9  , 47    , 35    , 2    
Day10 , 47    , 35    , 2    
Day11 , 47    , 35    , 2    
Day12 , 47    , 35    , 2    
Day13 , 47    , 35    , 2    
Day14 , 47    , 35    , 2    
Day15 , 47    , 35    , 2    
Day16 , 47    , 35    , 2    
Day17 , 47    , 35    , 2    
Day18 , 47    , 35    , 2    
Day19 , 47    , 35    , 2    
Day20 , 47    , 35    , 2    
Day21 , 47    , 35    , 2    
Day22 , 47    , 35    , 2    
Day23 , 47    , 35    , 2    
Day24 , 47    , 35    , 2    
Day25 , 47    , 35    , 2    
Day26 , 47    , 35    , 2    
Day27 , 47    , 35    , 2    
Day28 , 47    , 35    , 2    
Day29 , 47    , 35    , 2    
Day30 , 47    , 35    , 2    
Day31 , 47    , 35    , 2    
